subtopic,website,title,date,author,text,url
Κόσμος,newpost.gr,Μάλτα: Ανησυχία για πλοιάριο με 250 μετανάστες – Πληροφορίες ότι βυθίστηκε,"Δημοσίευση 13 Απριλίου 2020, 07:00 ",Newpost.gr,"Η τύχη δεκάδων  μεταναστών , το  πλοιάριο  των οποίων πιθανότατα  βυθίστηκε  στα  ανοιχτά της Μάλτας , προκαλεί την έντονη ανησυχία διεθνών οργανισμών και μη κυβερνητικών οργανώσεων. Η  Frontex  εντόπισε τέσσερα φουσκωτά σκάφη, ένα εκ των οποίων είχε αναποδογυρίσει και « υποθέτουμε ότι βυθίστηκε ενώ επέβαιναν άνθρωποι σε αυτό », ανέφερε μέσω του Twitter η οργάνωση Sea-Watch International. «Η Ευρώπη τους εγκατέλειψε. Για να πεθάνουν το Πάσχα. Για άλλη μια φορά», πρόσθεσε η οργάνωση αυτή η οποία από το Σάββατο εκφράζει ανησυχίες για το τι απέγιναν οι 250 μετανάστες που επέβαιναν στα τέσσερα πλοιάρια. Η  Ύπατη Αρμοστεία του ΟΗΕ  για τους πρόσφυγες και ο  Διεθνής Οργανισμός Μετανάστευσης  δεν ήταν σε θέση ούτε να επιβεβαιώσουν, ούτε να διαψεύσουν το ναυάγιο. « Ανησυχούμε πολύ . Φαίνεται ότι τουλάχιστον ένα πλοιάριο ανατράπηκε και δεν υπάρχει πλέον επαφή με ένα άλλο. Αλλά δεν έχουμε επιβεβαίωση εκ μέρους των αρχών», είπε στο Γαλλικό Πρακτορείο η Καρλότα Σάμι, εκπρόσωπος της Ύπατης Αρμοστείας στην Ιταλία. «Η κρίση του κορωνοϊού δεν μπορεί να καθιστά λιγότερο επιτακτική την παροχή βοήθειας σε ναυαγούς», πρόσθεσε. Ο Φλάβιο Ντι Τζάκομο, εκπρόσωπος του ΔΟΜ, εξήγησε ότι επειδή δεν υπάρχουν άλλα σκάφη που να πλέουν στην περιοχή, «είναι δύσκολο προς το παρόν να επιβεβαιώσουμε αν υπήρξε όντως ναυάγιο και πόσα είναι τα θύματα», αναφέρει το ΑΠΕ. «Οι πληροφορίες που κυκλοφορούν είναι πολύ ανησυχητικές. Και  δυστυχώς, από την εμπειρία μας, θεωρούμε πιθανό να υπήρχαν ναυάγια για τα οποία δεν γνωρίζουμε κάτι », τόνισε. Μια γερμανική μη κυβερνητική οργάνωση, η United4Rescue, διαβεβαίωσε ότι οι άνθρωποι που επέβαιναν στο πλοιάριο «ζήτησαν βοήθεια μέσω τηλεφώνου». Ο εκπρόσωπός της, ο Γιοάχιμ Λεντς, είπε ότι οι νεκροί μάλλον είναι δεκάδες. Όταν ρωτήθηκε από το Γαλλικό Πρακτορείο, η Frontex δεν θέλησε να σχολιάσει τις πληροφορίες αυτές. Προς το παρόν δεν υπάρχει κάποια αντίδραση ούτε από τις αρχές της Μάλτας ή το λιμενικό της Ιταλίας.",https://newpost.gr/kosmos/5e93ea29155645fb50185505/malta-anisyhia-gia-ploiario-me-250-metanastes-plirofories-oti-vythistike
Κόσμος,newpost.gr,"Γερμανία: 126 νέοι θάνατοι από κορωνοϊό, 2.537 νέα κρούσματα – Επιβραδύνεται ο ρυθμός εξάπλωσης","Δημοσίευση 13 Απριλίου 2020, 07:00 ",Newpost.gr,"Ο αριθμός των ασθενών που υπέκυψαν στην ασθένεια  COVID-19  το περασμένο 24ωρο στη  Γερμανία  αυξήθηκε κατά 126 και ανέρχεται πλέον σε 2.799. Τα νέα επιβεβαιωμένα κρούσματα μόλυνσης από τον SARS-CoV-2 στη χώρα ήταν 2.537, με το σύνολο των ανθρώπων που έχουν προσβληθεί από τον κορωνοϊό να φθάνει πλέον τους 123.016, σύμφωνα με δεδομένα που συγκεντρώνει και δημοσιοποιεί στον ειδικό ιστότοπο που έχει δημιουργήσει το Robert Koch-Institut. Ο αριθμός των νέων κρουσμάτων είναι σχετικά μικρότερος από εκείνον που καταγράφηκε την Κυριακή (2.821) και σηματοδοτεί την τρίτη συνεχόμενη ημέρα επιβράδυνσης της εξάπλωσης του κορωνοϊού στη Γερμανία, με βάση τα στοιχεία του Ινστιτούτου Ρόμπερτ Κοχ, το οποίο είναι ειδικευμένο στην αντιμετώπιση των μολυσματικών ασθενειών.",https://newpost.gr/kosmos/5e93efc85af97fbb1aa0a20b/germania-126-neoi-thanatoi-apo-koronoio-kai-2-537-nea-epivevaiomena-kroysmata-epivradynetai-o-rythmos-exaplosis
Κόσμος,newpost.gr,Τραγική κατάσταση στον Ισημερινό: Πάνω από 700 πτώματα απομακρύνθηκαν από τα σπίτια τους,"Δημοσίευση 13 Απριλίου 2020, 07:00 ",Newpost.gr,"Οι αρχές παρέλαβαν πάνω από  700 πτώματα  μέσα από τα σπίτια τους στη  Γουαγιακίλ , την οικονομική πρωτεύουσα του  Ισημερινού , όπου τα νοσοκομεία και τα γραφεία κηδειών έχουν ξεχειλίσει ασθενείς και θύματα εξαιτίας της πανδημίας του  κορωνοϊού , δήλωσε αξιωματούχος χθες Κυριακή. Τα πτώματα περιμάζεψε από τα σπίτια τους ειδική δύναμη αποτελούμενη από στελέχη της αστυνομίας και του στρατού, η οποία συστήθηκε από την κυβέρνηση εν μέσω του χάους που προκαλεί η πανδημία στη Γουαγιακίλ, μεγάλο λιμάνι στις ακτές του Ισημερινού στον Ειρηνικό Ωκεανό. «Ο αριθμός (των πτωμάτων) που απομακρύνθηκαν από τα σπίτια από την ειδική δύναμη ξεπέρασε τα 700», δήλωσε ο Χόρχε Γουάτεδ, αναφέρει το ΑΠΕ, ο οποίος διευθύνει την ομάδα αυτή, κατά τη διάρκεια συνέντευξης Τύπου που παραχώρησε μέσω βιντεοδιάσκεψης από τη Γουαγιακίλ. Ο Γουάτεδ δεν διευκρίνισε τα αίτια των θανάτων, που καταγράφηκαν κατά τη διάρκεια της κατάστασης υγειονομικής έκτακτης ανάγκης που έχει κηρυχθεί στη Γουαγιακίλ εξαιτίας της πανδημίας. Με βάση τον επίσημο εθνικό απολογισμό, στον Ισημερινό καταγράφονται περί τα 7.500 κρούσματα μόλυνσης από τον SARS-CoV-2 και 333 θάνατοι εξαιτίας της ασθένειας COVID-19, που προκαλεί ο κορωνοϊός, αφότου επιβεβαιώθηκε το πρώτο κρούσμα στη χώρα, την 29η Φεβρουαρίου. Στην επαρχία Γουάγιας συγκεντρώνεται το 72% των κρουσμάτων. Στη Γουαγιακίλ, την πρωτεύουσά της, οι ασθενείς ανέρχονται σε 4.000. Η ειδική δύναμη της αστυνομίας και του στρατού άρχισε να μαζεύει πτώματα από σπίτια πριν από τρεις εβδομάδες, καθώς τα γραφεία κηδειών αδυνατούν να αντεπεξέλθουν στη Γουαγιακίλ. Καταγράφονται τεράστιες καθυστερήσεις στις κηδείες και τις ταφές, καθώς εξακολουθεί να ισχύει η απαγόρευση κυκλοφορίας 15 ώρες το 24ωρο που έχει κηρυχθεί σε όλη την επικράτεια του Ισημερινού. Αντιμέτωποι με αυτή τη φρικιαστική κατάσταση, κάτοικοι έχουν μοιραστεί μέσω ιστότοπων κοινωνικής δικτύωσης βίντεο που εικονίζουν πτώματα εγκαταλελειμμένα στους δρόμους και απεγνωσμένες εκκλήσεις για βοήθεια οικογενειών που θέλουν να θάψουν τους νεκρούς τους. Η κυβέρνηση του Ισημερινού ανέλαβε τις ταφές, μπροστά στην αδυναμία πολλών συγγενών να προχωρήσουν σε αυτές για διάφορους λόγους, ιδίως οικονομικούς. Κατά τη διάρκεια της συνέντευξης Τύπου που παραχώρησε, ο Χόρχε Γουάτεδ είπε ότι τα πτώματα των 600 ανθρώπων, αφού αναγνωρίστηκαν, κηδεύτηκαν σε δύο νεκροταφεία της πόλης. Ο Γουάτεδ είχε πει πριν από δύο εβδομάδες ότι «οι ειδικοί (...) δυστυχώς εκτιμούν ότι οι θάνατοι» εξαιτίας της πανδημίας «θα φθάσουν τους επόμενους μήνες τους 2.500 ως 3.500 μόνο στην επαρχία Γουάγιας». Ο πρόεδρος του Ισημερινού Λενίν Μορένο ανακοίνωσε την Κυριακή μέσω Twitter ότι αποφάσισε να μειωθούν στο μισό ο δικός του μισθός και αυτοί άλλων κρατικών λειτουργών στο πλαίσιο των μέτρων που λαμβάνει για να αντιμετωπιστεί η οικονομική κρίση που προκαλεί στη χώρα η πανδημία και η πτώση της τιμής του πετρελαίου στις διεθνείς αγορές.",https://newpost.gr/kosmos/5e93f1e35af97fbb1aa0a20c/tragiki-katastasi-ston-isimerino-pano-apo-700-ptomata-apomakrynthikan-apo-ta-spitia-toys
subtopic,website,title,date,author,text,url
Κόσμος,newpost.gr,Κορωνοϊός: Δραματική η κατάσταση στη Βρετανία - 936 νεκροί σε μια ημέρα,"Δημοσίευση 8 Απριλίου 2020, 16:00 ",Newpost.gr,"Τους 936 έφτασαν οι νεκροί από την πανδημία του  κορωνοϊού  στη  Βρετανία  μέσα σε 24 ώρες. Έτσι οι θάνατοι από τον ιό έφτασαν τους 7.095. Οι αρχές ανακοίνωσαν σήμερα ότι  828 άνθρωποι πέθαναν από κορωνοϊό σε νοσοκομεία  με τις ηλικίες τους να κυμαίνονται από 22 έως 103 ετών. Στην Σκωτία  καταγράφηκαν 77 νεκροί  από κορωνοϊό σε μια ημέρα και 336 κρούσματα, ενώ στην Ουαλία άλλα 284 κρούσματα κορονοϊού και 33 νεκροί. Πέντε νεκροί και στην Βόρεια Ιρλανδία. Την ίδια ώρα,  οπρωθυπουργός της Βρετανίας Μπόρις Τζόνσονεξακολουθεί να βρίσκεται στην εντατική με κορωνοϊό και σύμφωνα με τον εκπρόσωπο της κυβέρνησηςνοσηλεύεται κλινικά σταθερός",https://newpost.gr/kosmos/5e8dd363a3d84bae366386ea/koronoios-dramatiki-i-katastasi-sti-vretania-936-nekroi-se-mia-imera
Κόσμος,newpost.gr,Κορωνοϊός: Πώς μπήκε ο πλανήτης σε καραντίνα (Πίνακες),"Δημοσίευση 7 Απριλίου 2020, 23:00 ",Newpost.gr,"Ο κορωνοϊός έχει μολύνει πλέον  περισσότερους από ένα εκατομμύριο ανθρώπους παγκοσμίως , αλλά ο αντίκτυπός του εκτείνεται πολύ πέρα από εκείνους που έχουν χτυπηθεί από αυτόν, καθώς έχει επηρεάσει τις ζωές όλων. Ακόμη και η συχνότητα χρήσης της λέξης «άνευ προηγουμένου» είναι άνευ προηγουμένου αυτή τη στιγμή  γράφει το BBC . Όταν ο κορωνοϊός εξαπλώθηκε σε όλο τον κόσμο,  γινόταν όλο και πιο δύσκολο να τον διαχειριστούν τα κράτη . Έτσι κάποιες χώρες επέλεξαν να λάβουν πιο αυστηρά μέτρα για να περιορίσουν την επιδημία ακόμα και αν άλλες έπαιρναν πιο ήπια μέτρα. Πάνω από 100 χώρες σε όλο τον κόσμο  είχαν θεσπίσει είτε πλήρη είτε μερική απομόνωση  μέχρι τα τέλη Μαρτίου, ενώ πολλοί είχαν συστήσει περιορισμένη κυκλοφορία για κάποιους ή για όλους τους πολίτες τους. Οι χώρες που πρόσφατα κατέγραψαν κρούσματα του κορωνοϊού φαίνεται πως παίρνουν ως παράδειγμα τις χώρες που έχουν πληγεί σε Ασία και Ευρώπη. Μάλιστα  οι κυβερνήσεις φαίνεται να ενεργούν ταχύτερα και αυστηρότερα και στην Αφρική .",https://newpost.gr/kosmos/5e8ce9578e33998307ef8850/koronoios-pos-mpike-o-planitis-se-karantina-pinakes
Κόσμος,newpost.gr,«Θερίζει» τις ΗΠΑ ο κορωνοϊός: Σχεδόν 2.000 νεκροί για δεύτερη συνεχόμενη ημέρα,"Δημοσίευση 9 Απριλίου 2020, 07:00 ",Newpost.gr,"Στις  ΗΠΑ  καταγράφηκαν για  δεύτερη συνεχόμενη ημέρα  σχεδόν  2.000 θάνατοι  εξαιτίας της πανδημίας του  κορωνοϊού , δείχνουν δεδομένα που συγκέντρωσε το πανεπιστήμιο Τζονς Χόπκινς ως την Τετάρτη στις 20:30 (τοπική ώρα· 03:30 σήμερα ώρα Ελλάδας). Πρόκειται για τον χειρότερο ημερήσιο απολογισμό θυμάτων, για ακόμα μία ημέρα, σε οποιαδήποτε χώρα στον πλανήτη αφότου ξέσπασε η πανδημία. Το νέο θλιβερό ρεκόρ (+1.973 θάνατοι), ελαφρά υψηλότερο από αυτό της προηγουμένης (1.939), αυξάνει σε 14.695 τον συνολικό αριθμό των θυμάτων της ασθένειας COVID-19 στις ΗΠΑ.  Οι θάνατοι στην ισχυρότερη δύναμη του κόσμου ξεπέρασαν αυτούς την Ισπανία (14.555), πάντως ακόμα η χώρα θρηνεί λιγότερα θύματα από την Ιταλία (17.669). Στις  ΗΠΑ εξάλλου καταγράφεται σχεδόν το ένα τέταρτο των επισήμως επιβεβαιωμένων κρουσμάτων μόλυνσης  στον κόσμο, 429.052 συνολικά, σύμφωνα με το πανεπιστήμιο Τζονς Χόπκινς, η βάση δεδομένων του οποίου ανανεώνεται συνεχώς. Από τα μέσα της περασμένης εβδομάδα,  στις ΗΠΑ καταγράφονται καθημερινά πάνω από 1.000 νέοι θάνατοι, παρά τα μέτρα περιορισμού του πληθυσμού  που τίθενται προοδευτικά σε ισχύ στη μια πολιτεία πίσω από την άλλη. Η πολιτεία της Νέας Υόρκης αποτελεί μακράν τη μεγαλύτερη εστία της πανδημίας στην αμερικανική επικράτεια,  με 6.268 νεκρούς. Κατέγραψε νέα αύξηση-ρεκόρ το τελευταίο 24ωρο (+779), αλλά η κατάσταση σε αυτήν μοιάζει να εξομαλύνεται, όπως δήλωσε καθησυχαστικά ο κυβερνήτης της Άντριου Κουόμο, υπογραμμίζοντας όμως ταυτόχρονα πως δεν έχει σε καμία περίπτωση «ξεπεραστεί» η κρίση. Ο Λευκός Οίκος προέβλεψε την περασμένη εβδομάδα ότι η ασθένεια COVID-19 ενδέχεται να στοιχίσει τη ζωή σε 100.000 ως 240.000 ανθρώπους στις ΗΠΑ,  όμως ο Ντόναλντ Τραμπ δηλώνει βέβαιος ότι η κυβέρνησή του θα μπορέσει να χειριστεί την κρίση κατά τρόπο που θα φέρει «πολύ καλύτερα» αποτελέσματα. « Έχουμε μελετήσει προσεκτικά τους αριθμούς στην Ιταλία και στην Ισπανία. Πάμε καλύτερα από πολλές άλλες χώρες », υποστήριξε η Δρ. Ντέμπορα Μπερξ, μέλος του κλιμακίου αντιμετώπισης της κρίσης του Λευκού Οίκου.  «Το αμερικανικό σύστημα υγείας είναι εξαιρετικό », διαβεβαίωσε. Ο κορωνοϊός είχε προσβάλει πάνω από 1,46 εκατ. ανθρώπους σε διεθνές επίπεδο και είχε στοιχίσει τη ζωή σε 86.289  εξ αυτών σε 192 χώρες αφότου έκανε την εμφάνισή του τον Δεκέμβριο στην Κίνα, σύμφωνα με την καταμέτρηση του Γαλλικού Πρακτορείου ως χθες στις 22:00 (ώρα Ελλάδας) με βάση ανακοινώσεις του Παγκόσμιου Οργανισμού Υγείας και των κυβερνήσεων των χωρών.",https://newpost.gr/kosmos/5e8ea4d058a622cd335cfb9f/therizei-tis-ipa-o-koronoios-shedon-2-000-nekroi-gia-deyteri-synehomeni-imera
Κόσμος,newpost.gr,Νικήθηκε από τον κορωνοϊό γιατρός που προειδοποίησε τον Μπόρις Τζόνσον για την πανδημία,"Δημοσίευση 10 Απριλίου 2020, 14:00 ",Newpost.gr,"Έφυγε από τη ζωή νικημένος από τον κορωνοϊό ο 53χρονος γιατρός που προειδοποίησε τον  Μπόρις Τζόνσον  να πάρει σοβαρά την  πανδημία . Ο λόγος για τον ουρολόγο  Δρ. Abdul Mabud Chowdhury  που τρεις εβδομάδες νωρίτερα έκρουσε τον κώδωνα του κινδύνου για τα ελλιπή μέτρα που ελήφθησαν στη Βρετανία. Ο Abdul Mabud Chowdhury, που έδινε τη μάχη κατά του φονικό ιού, υπέκυψε αφού νοσηλεύτηκε 15 ημέρες στο νοσοκομείο  Queen's Hospital  στο  Romford , σύμφωνα με το  Sky News . Ο 53χρονος επιστήμονας, στις 18 Μαρτίου απηύθυνε έκκληση, μέσω Facebook στον Μπόρις Τζόνσον, όταν εκείνος ακόμη μιλούσε για την ανοσία της αγέλης, ώστε να λάβει αυστηρά μέτρα κατά του ιού, να εξοπλίσει τους εργαζόμενους στην Υγεία και να ενισχύσει το σύστημα Υγείας της Βρετανίας. Συγκεκριμένα ανέφερε στο μήνυμά του:  «Θυμηθείτε ότι μπορούμε να είμαστε γιατροί, νοσοκόμες εργαζόμενοι στον τομέα της υγείας που βρίσκονται σε άμεση επαφή με τους ασθενείς, αλλά είμαστε επίσης άνθρωποι που προσπαθούν να ζήσουν σε αυτόν τον κόσμο χωρίς ασθένεια με την οικογένεια και τους φίλους μας. πρέπει να προστατεύσουμε τους εαυτούς μας και τις οικογένειές μας σε αυτή την παγκόσμια καταστροφή. Οι άνθρωποι που μας εκτιμούν και μας συμβουλεύονται μας δίνουν δύναμη και χαιρετίζουμε την ανταπόκριση. Πρέπει να προστατεύσουμε τον εαυτό μας και τις οικογένειές μας και τα παιδιά μας από αυτή την παγκόσμια καταστροφή. Λάβετε άμεσα διορθωτικά μέτρα και ενισχύστε τις άμυνες σας». Τέσσερις ημέρες μετά αρρώστησε τόσο ο ίδιος όσο και  ο Βρετανός πρωθυπουργός, Μπόρις Τζόνσον . Ωστόσο ο ο 53χρονος γιατρός, παρά το γεγονός ότι δεν είχε υποκείμενα νοσήματα έχασε τη μάχη αφήνοντας πίσω του δύο παιδιά ηλικίας 18 και 11 ετών. Η 11χρονη κόρη του Wareesh Chowdhury, δήλωσε σύμφωνα με το Sky News: «Τον αγαπούσαμε τόσο πολύ, μου ραγίζει η καρδιά που τον είδα να ‘φεύγει’, αλλά με έκανε τόσο χαρούμενη που τον γνώρισα. Τον αγαπώ τόσο πολύ, ως το φεγγάρι και πίσω, απλώς μας λείπεις, έφυγε τόσο γρήγορα, είναι πολύ νωρίς για να φύγει, ήταν μια ευλογία για μας και δεν άξιζε να φύγει τόσο νωρίς».",https://newpost.gr/kosmos/5e905d1aadba67d61ae03447/nikithike-apo-ton-koronoio-giatros-poy-proeidopoiise-ton-mporis-tzonson-gia-tin-pandimia
Κόσμος,newpost.gr,"Μπόρις Τζόνσον: «Θα πάρει χρόνο για να επιστρέψει», λέει ο πατέρας του","Δημοσίευση 10 Απριλίου 2020, 13:00 ",Newpost.gr,"Ο πατέρας του  ΜπόριςΤζόνσον , μίλησε με τα καλύτερα λόγια για το Εθνικό Σύστημα Υγείας της  Βρετανίας  και ξεκαθάρισε για τον γιο του ότι ο κίνδυνος για την κατάστασή του παραμένει,  παρά το γεγονός ότι εξήλθε από την εντατική . « Δεν θα εισέλθω σε λεπτομέρειες, αλλά δεν μπορεί κάποιος να βγει από τη ΜΕΘ και να πάει κατευθείαν στη Ντάουνινγκ Στριτ χωρίς μια περίοδο προσαρμογής », είπε σε συνέντευξή του στο BBC και πρόσθεσε:« Για να χρησιμοποιήσω την αμερικανική έκφραση ο γιος μου έφαγε την σφαίρα για την ομάδα.  Πρέπει να βεβαιωθούμε ότι το παιχνίδι θα παιχτεί σωστά από εδώ και πέρα.  ». Ο  Στάνλει Τζόνσον  τόνισε επίσης ότι η μάχη του γιου του με τον κορωνοϊό βοήθησε τοΗνωμένο Βασίλειονα συνειδητοποιήσει ότι ηπανδημίαείναι σοβαρή. « Πιστεύω ότι η όλη κατάσταση στην πραγματικότητα, εξυπηρέτησε έναν καταπληκτικό σκοπό, υπό την έννοια ότι έχει κάνει όλη τη χώρα να συνειδητοποιήσει ότι αυτό είναι ένα σοβαρό γεγονός »,τόνισε. « Αισθάνομαι εξαιρετικά ευγνώμων εξ ονόματος της οικογένειας, της οικογένειας του Μπόρις, της οικογένειάς μου, των μελών της οικογένειάς μου, και φυσικά ευγνώμων για την τεράστια υποστήριξη …  και ευγνώμων για το εξαιρετικό έργο του Εθνικού Συστήματος Υγείας »,πρόσθεσε. Σύμφωνα επίσης με ρεπορτάζ των Times, στην Ντάουνινγκ Στριτ έχουν σχέδιο διακυβέρνησης με σενάριο την απουσία του Μπόρις Τζόνσον για έναν μήνα.",https://newpost.gr/kosmos/5e904c0ee0f1ee5f0a1ae245/mporis-tzonson-tha-parei-hrono-gia-na-epistrepsei-leei-o-pateras-toy
Κόσμος,newpost.gr,Υποβρύχιο «φάντασμα» βρέθηκε στον βυθό της Μάλτας μετά από 77 χρόνια,"Δημοσίευση 1 Νοεμβρίου 2019, 08:00 ",Newpost.gr,"Το  βρετανικόυποβρύχιο HMSUrge  είχε εξαφανιστεί κατά τη διάρκεια του Β’ Παγκοσμίου Πολέμου, όταν ξεκίνησε το ταξίδι του από τη Μάλτα με προορισμό την Αίγυπτο. Τον 1942 το νησί ήταν υπό πολιορκία από τους Ναζί και το υποβρύχιο ξεκίνησε το ταξίδι του, με ένα πλήρωμα 40 μελών, ωστόσο δεν έφθασε ποτέ στην Αλεξάνδρεια, με την τύχη του να παραμένει άγνωστη για τα επόμενα 77 χρόνια. Ο εγγονός του κυβερνήτη του βρετανικού υποβρυχίου ζήτησε το καλοκαίρι από ειδικούς του Πανεπιστημίου της Μάλτας να ερευνήσουν τη θαλάσσια εποχή και εκεί, σε βάθος περίπου 130 μέτρων, βρέθηκε το χαμένο HMS Urge. «Φαίνεται πως έγινε μία ισχυρότατη έκρηξη… το υποβρύχιο πρέπει να κατέληξε στον βυθό πολύ γρήγορα και το πλήρωμα δεν είχε καμία τύχη», δήλωσε ο καθηγητής Τίμι Γκάμπιν, επικεφαλής των ερευνών. Το πιθανότερο σενάριο είναι ότι το υποβρύχιο χτυπήθηκε από νάρκη ενώ βρισκόταν ακόμα στην επιφάνεια.",https://newpost.gr/kosmos/5dbbcb7be1376f8f15f32fc5/ypovryhio-fantasma-vrethike-ston-vytho-tis-maltas-meta-apo-77-hronia
