subtopic,website,title,date,author,text,url
ΠΟΔΟΣΦΑΙΡΟ,naftemporiki.gr,"Φαν Σιπ: Παρακολουθούμε τους Μανωλά, Παπασταθόπουλο","Σάββατο, 02 Μαΐου 2020 21:34",naftemporiki.gr,"Τα πλάνα του στην Εθνική ομάδα καταστρώνει ο ομοσπονδιακός τεχνικός Τζον Φαν Σιπ. Μπορεί να μην υπάρχουν αγωνιστικές δραστηριότητες, λόγω της πανδημίας του κορωνοϊού, παρ΄ όλα αυτά ο Ολλανδός τεχνικός δεν έχει σταματήσει να σκέφτεται πως θα φτιάξει μια ομάδα που θα μπορέσει όχι μόνο να είναι ανταγωνιστική σε διεθνές επίπεδο, αλλά και να διεκδικεί επί ίσοιος όροις τα «εισιτήρια» σε μεγάλες διοργανώσεις. Ο έμπειρος τεχνικός, με δηλώσεις του στη Nova, δεν έκρυψε ότι δεν υπολογίζει τον Κώστα Μήτρογλου στα πλάνα του, λόγω της μακράς αποχής του από τους αγώνες, ενώ άφησε «παράθυρο» για τους Μανωλά, Παπασταθόπουλο, λέγοντας: «Δεν ήταν στη λίστα για τα φιλικά του Μαρτίου αλλά αυτό δεν σημαίνει ότι δεν τους παρακολουθούμε καθώς γνωρίζουμε την αξία τους. Με τον Παπασταθόπουλο είχαμε μιλήσει και στο παρελθόν και στο μέλλον στόχος μας είναι να διαλέγουμε παίκτες που θέλουν να αγωνίζονται για το εθνόσημο. Πρέπει να δίνουν το 100% όλοι όσοι καλούνται να παίξουν», επισήμανε χαρακτηριστικά ο Ολλανδός προπονητής, ο οποίος παραδέχθηκε ότι είχε συμπεριλάβει τον Χατζηγιοβάνη στα πλάνα του για το ταξίδι της «γαλανόλευκης» στιςΗΠΑ,που δεν έγινε ποτέ λόγω του κορονοϊού, όχι, όμως, και τον Κώσγτα Φορτούνη, τον οποίο θεωρεί ανέτοιμο. Αναλυτικά οι δηλώσεις του: «Πρέπει να αποδεχτούμε την κατάσταση και θα πρέπει να ξέρουμε τι θέλουμε όταν επιστρέψουν οι παίκτες στις αγωνιστικές τους υποχρεώσεις. Όχι μόνο αγωνιστικά αλλά και εξωαγωνιστικά. Γιατί είμαστε ομάδα όχι μόνο μέσα στο γήπεδο αλλά έξω από αυτό. Αυτό είναι το επόμενο βήμα για την Εθνική. Στην αρχή σκέφτεσαι πολλά αλλά τώρα που γνωρίζουμε όλοι ότι αυτός ο ιός είναι μέρος της καθημερινότητας αντιλαμβάνεσαι ότι το ποδόσφαιρο είναι λιγότερο σημαντικό. Μόλις ξεκινήσει ξανά το ποδόσφαιρο και τα πρωταθλήματα θα επιστρέψει και η επιθυμία για την Εθνική. Όμως τώρα θα πρέπει πρώτα να ξεκινήσουν τα πρωταθλήματα και θα πρέπει και εμείς να δούμε πως θα κυλήσουν αυτά. Μιλάμε με τον Κωνσταντινίδη και με τον Φύσσα μία φορά την εβδομάδα για την όλη κατάσταση και για το τι θα γίνει με τα πρωταθλήματα. Δεν νομίζω ότι έχει νόημα να πω τώρα ποιους παίκτες θα πέρναμε μαζί μας για τα δύο φιλικά στις ΗΠΑ. Σίγουρα θα περνάμε κάποια παιδιά για να πάρουν μία ευκαιρία και θα είναι μαζί μας στο μέλλον. Δεν θέλω να πω ονόματα γιατί ίσως ξεχάσω μερικά. Για παράδειγμα ο Γαλανόπουλος και ο Χατζηδιάκος δεν ήταν μαζί μας γιατί ήταν τραυματίες. Είχαμε σκεφτεί για τους αντικαταστάτες τους και είχαμε δει μερικούς παίκτες που θα ακολουθήσουν τους επόμενους μήνες και οι οποίοι θα δημιουργήσουν μία ανταγωνιστικότητα με τους ήδη υπάρχοντες παίκτες. Ο Χατζηγιοβάνης ήταν στη λίστα. Αλλά υπήρχαν περισσότεροι. Ο Φορτούνης δεν ήταν στη λίστα, τον έχουμε στο μυαλό μας, είναι πολύ καλός παίκτης αλλά πρέπει να επανέλθει πλήρως μετά από έναν σοβαρό τραυματισμό. Όταν συνεχίσει να παίζει με τον Ολυμπιακό τότε θα μπορέσουμε να τον έχουμε μαζί μας ξανά. Δυστυχώς ακόμα δεν είναι στο κατάλληλο επίπεδο, εμείς κοιτάμε όλους τους παίκτες και όσους επιλέγουμε πρέπει να είναι σε φόρμα. Η περίπτωση του Μπάλντογκ είναι σχεδόν απίθανη για γραφειοκρατικούς λόγους. Ο Βασιλειάδης είναι μία περίπτωση παίκτη που είχαμε μαζί μας και τους παρακολουθούμε γιατί είναι στη λίστα μας. Οι Παπασταθόπουλος και Μανωλάς δεν ήταν στη λίστα για τα φιλικά του Μαρτίου αλλά αυτό δεν σημαίνει ότι δεν τους παρακολουθούμε καθώς γνωρίζουμε την αξία τους. Με τον Παπασταθόπουλο είχαμε μιλήσει και στο παρελθόν και στο μέλλον στόχος μας είναι να διαλέγουμε παίκτες που θέλουν να αγωνίζονται για το εθνόσημο. Πρέπει να δίνουν το 100% όλοι όσοι καλούνται να παίξουν. Έχω ακούσει για τον Βασιλάκη. Τέτοιου είδους παίκτες πρέπει να βρίσκονται σε ένα συγκεκριμένο επίπεδο αγωνιστικά και θα πρέπει να υπάρχει κάποιου είδους αξιοπιστία για να επιλεγούν. Υπάρχουν πολλά ονόματα. Μιλάμε με τους συνεργάτες μία φορά την εβδομάδα και ίσως και περισσότερο και μιλάμε για πολλούς παίκτες. Πρέπει να είμαστε έτοιμοι εάν προκύψει κάτι νέο τότε θα πρέπει να είμαστε έτοιμοι. Δεν θα αλλάξουμε απλά για να αλλάξουμε αλλά πρέπει να είμαστε έτοιμοι εάν δούμε κάποιον παίκτη που να αξίζει να έρθει στην Εθνική. Τους τελευταίους έξι μήνες είδατε ότι στην επίθεση έχουμε έναν νεαρό παίκτη που σκοράρει στην Ολλανδία και είναι το μέλλον της εθνικής ομάδας. Ο Μήτρογλου τα τελευταία χρόνια δεν τα πάει τόσο καλά. Θέλουμε παίκτες με ταλέντο και διάθεση για βελτίωση αλλά και φιλοδοξίες. Για παράδειγμα ο Παυλίδης έχει βελτιωθεί απίστευτα το τελευταίο χρονικό διάστημα. Οπότε καλύτερα να μιλάμε γι' αυτόν παρά για τον Μήτρογλου ο οποίος έχει να παίξει έναν χρόνο. Πρέπει να κοιτάμε τη στιγμή και όχι το παρελθόν. Ο κόσμος έχει την άποψή του και αγαπά κάποιους παίκτες που ανήκουν στο παρελθόν».",https://www.naftemporiki.gr/story/1595192/fan-sip-parakolouthoume-tous-manola-papastathopoulo
ΜΠΑΣΚΕΤ,naftemporiki.gr,Επέστρεψε ο Καλάθης και μπήκε σε καραντίνα,"Τρίτη, 21 Απριλίου 2020 16:39",naftemporiki.gr,"Ο Νικ Καλάθης επέστρεψε στην Ελλάδα και την Αθήνα από το Μεγάλο Σάββατο (18/4), προερχόμενος από τις ΗΠΑ. Ο άσος του Παναθηναϊκού θα πρέπει τώρα να μείνει απομονωμένος για 14 ημέρες, σύμφωνα με το πρωτόκολλο για τα άτομα που φτάνουν στη χώρα από το εξωτερικό. Ο ομογενής γκαρντ υποβλήθηκε άμεσα σε τεστ για τον κορωνοϊό, με το αποτέλεσμα να είναι αρνητικό.",https://www.naftemporiki.gr/story/1591675/epestrepse-o-kalathis-kai-mpike-se-karantina
MOTORSPORTS,naftemporiki.gr,Λεκλέρκ: Φαβορί ο Χάμιλτον ακόμη και σε πρωτάθλημα με 8 αγώνες,"Πέμπτη, 23 Απριλίου 2020 22:54",naftemporiki.gr,"Ο Σαρλ Λεκλέρκ βρίσκεται προς το παρόν στο σπίτι του και ανυπομονεί να τελειώσει η καραντίνα και να ξεκινήσει η δράση στη F1. Ο Μονεγάσκος πιλότος μίλησε στη Marca για το πως περνάει την καθημερινότητά του κι έδωσε τα προγνωστικά. «Παίζω λίγο πιάνο και κιθάρα, αν και όχι πολύ καλά. Είμαι στο σπίτι με τη φίλη μου και διάβασα ένα βιβλίο για την ιστορία της Ferrari. Βλέπω τηλεόραση, δεν υπάρχουν πολλά περισσότερα να κάνω» , είπε. Στη συνέχεια αναφέρθηκε στο σενάριο να γίνουν οι αγώνες χωρίς κόσμο.  «Δεν μου αρέσει να τρέχω χωρίς κόσμο, αλλά αν αυτό συμβάλει ώστε να ξεκινήσουμε θα το κάνουμε»,  παραδέχθηκε. Όσο για τα προγνωστικά του;  «Αν κατακτούσα το πρωτάθλημα θα ήμουν πολύ χαρούμενος. Όμως, ακόμα και σε ένα πρωτάθλημα 8-10 αγώνων η Mercedes και ο Λιούις Χάμιλτον εξακολουθούν να είναι τα φαβορί» .",https://www.naftemporiki.gr/story/1592598/leklerk-fabori-o-xamilton-akomi-kai-se-protathlima-me-8-agones
MOTORSPORTS,naftemporiki.gr,Έτοιμη για το πρώτο (διπλό) Grand Prix της χρονιάς η Αυστρία,"Παρασκευή, 24 Απριλίου 2020 23:04",naftemporiki.gr,"Πολύ λίγα απομένουν για τον πλήρη ορισμό και την επισημοποίηση του πρώτου αγώνα της σεζόν στη Formula 1, για το 2020. Αυτό επιβεβαιώθηκε από τον Χέλμουτ Μάρκο, τον ισχυρό άνδρα της Red Bull και υποστηρικτή του αυστριακού Grand Prix στην πίστα Σπίλμπεργκ. «Θα υπάρξουν δύο αγώνες, αμφότεροι Κυριακή, στις 5 και 12 Ιουλίου» , είπε ο Μάρκο σε ραδιοφωνική παρέμβαση στον τοπικό ραδιοτηλεοπτικό σταθμό Ö3. «Μόνο ένα δεύτερο κύμα της πανδημίας θα μπορούσε να το εμποδίσει. Ωστόσο, η πίστα Σπίλμπεργκ ήδη πληροί όλες τις απαραίτητες απαιτήσεις» . Κατά τη διάρκεια των δύο αγώνων τα προαναφερόμενα σαββατοκύριακα, οι διοργανωτές θα διαχειριστούν τα πάντα με λιγότερους από 2.000 υπαλλήλους, χωρίς την παρουσία θεατών ή ανεξάρτητων δημοσιογράφων, καθώς η FOM θα παράγει μόνο το διεθνές τηλεοπτικό σήμα για να εγγυηθεί επαγγελματική ζωντανή τηλεοπτική κάλυψη.",https://www.naftemporiki.gr/story/1593054/etoimi-gia-to-proto-diplo-grand-prix-tis-xronias-i-austria
MOTORSPORTS,naftemporiki.gr,Χωρίς θεατές το γκραν πρι της Formula 1 στην Ουγγαρία,"Παρασκευή, 01 Μαΐου 2020 12:52",naftemporiki.gr,"Χωρίς θεατές θα διεξαχθεί, σε άγνωστη προς το παρόν ημερομηνία, το γκραν πρι της Formula 1 στην Ουγγαρία, όπως ανέφεραν σήμερα (1/05) οι διοργανωτές του. Ο αγώνας στο Hungaroring ήταν προγραμμαισμένος για τις 2 Αυγούστου, αλλά οι αρχές ανακοίνωσαν ότι οι εκδηλώσεις με περισσότερους από 500 συμμετέχοντες δεν μπορούν να διεξαχθούν μέχρι τις 15 Αυγούστου. «Είναι πλέον προφανές ότι οποιοσδήποτε αγώνας F1 στην Ουγγαρία μπορεί τώρα να διεξαχθεί μόνο πίσω από κλειστές πόρτες, χωρίς θεατές», ανέφεραν οι διοργανωτές. Η F1 σχεδιάζει να ξεκινήσει τη σεζόν χωρίς καθυστέρηση στο Red Bull Ring της Αυστρίας 3-5 Ιουλίου, ακολουθούμενο από το βρετανικό Grand Prix στο Silverstone υπό παρόμοιες συνθήκες. Ωστόσο, δεν έχει ακόμη δημοσιεύσει ένα αναθεωρημένο ημερολόγιο, και το GP της Ουγγαρίας θα μπορούσε τώρα να πάει για αργότερα, δεδομένου ότι πάνω από 1.000 άτομα θα είναι παρόντα ακόμη και χωρίς θεατές. Οι διοργανωτές του Ούγγρου GP ανέφεραν ότι η ανακοίνωση της κυβέρνησης «είχε σαφώς άμεσο αντίκτυπο» στον αγώνα. «Πιστεύουμε ότι ο αγώνας χωρίς θεατές, είναι προτιμότερο να μην έχουμε καθόλου αγώνα. Ως εκ τούτου, συνεχίζουμε τη συνεργασία μας με τη Formula 1 για να προσπαθήσουμε να βρούμε έναν τρόπο για να το κάνουμε αυτό δυνατό.»",https://www.naftemporiki.gr/story/1595025/xoris-theates-to-gkran-pri-tis-formula-1-stin-ouggaria
MOTORSPORTS,naftemporiki.gr,Αναβλήθηκε και το γαλλικό γκραν πρι,"Δευτέρα, 27 Απριλίου 2020 12:52",naftemporiki.gr,"Σε μία ακόμη αναβολή αγώνα που ήταν προγραμματισμένος να διεξαχθεί τον Ιούνιο προχώρησε η Formula 1. Το γαλλικό γκραν πρι, το οποίο επρόκειτο να γίνει στις 28 Ιουνίου, δεν θα πραγματοποιηθεί όπως ανακοίνωσαν την Δευτέρα (27/04) οι διοργανωτές του, ενώ όπως όλα δείχνουν ο εναρκτήριος αγώνας της σεζόν θα διεξαχθεί το τριήμερο 3-5 Ιουλίου, στην Αυστρία, το πιθανότερο χωρίς την παρουσία θεατών. Πρόκειται για τον 10ο αγώνα του παγκοσμίου πρωταθλήματος που δέχεται «χτύπημα» από τον ιό. «Δεδομένης της εξέλιξης που έχει πάρει η κατάσταση, λόγω της εξάπλωσης του Covid-19, το γαλλικό γκραν πρι είναι αδύνατο να πραγματοποιηθεί», τόνισε ο διευθύνων σύμβουλος του αγώνα, Ερίκ Μπουλιέρ. Ο πρόεδρος της διοργανώτριας αρχής, Τσέις Κάρεϊ, είπε πως ήταν απγοητευτικό, αλλά «υποστηρίζουμ πλήρως την απόφαση που έλαβαν οι γαλλικές αρχές και ανυπομονούμε να επιστρέψουμε στην πίστα Paul Ricard πολύ γρήγορα.» Ο αγώνας στην πίστα του Μονακό, που ήταν προγραμματισμένος να διεξαχθεί τον Μάιο, έχει ματαιωθεί οριστικά, όπως επίσης και ο εναρκτήριος της σεζόν, στην Μελβούρνη της Αυστραλίας, ενώ άλλοι 8 αγώνες αναμένουν τις αποφάσεις των διοργανωτών, ελπίζοντας σε ένα διαμορφωμένο καλεντάρι 15-18 αγώνων. Η σεζόν, πλέον, αναμένεται να ξεκινήσει στις 5 Ιουλίου στην Αυστρία στο «Spielberg's Red Bull Ring», σε έναν αγώνα που μπορεί να διεξαχθεί χωρίς την παρουσία θεατών. Το βρετανικό γκραν πρι, ένας εντός έδρας αγώνας για περισσότερες από 10 ομάδες, όπως επίσης και του εξάκις παγκόσμιου πρωταθλητή της Mercedes, Λιούις Χάμιλτον, παραμένει στο καλεντάρι για τις 19 Ιουλίου, αλλά «κεκλεισμένων των θυρών».  «Είμαι στη δυσάρεστη θέση να σας ανακοινώσω ότι είναι αδύνατο να διοργανώσουμε το εφετινό βρετανικό γκραν πρι με την παρουσία θεατών στο Σιλβερστόουν», τόνισε ο διευθύνων σύμβουλος του αγώνα, Στιούαρτ Πρινγκλ, με μήνυμά του προς τους οπαδούς. Η Formula 1 σχεδιάζει να ξεκινήσει η ούτως ή, άλλως, καθυστερημένη σεζόν χωρίς την παρουσία θεατών στην Αυστρία, τον ερχόμενο Ιούλιο, και να ολοκληρωθεί τον προσεχή Δεκέμβριο στο Αμπου Ντάμπι, ενώ ενδιάμεσα θα γίνουν αγώνες στην Ασία και στιςΗΠΑ,όπως αποκάλυψε τη Δευτέρα ο πρόεδρος της διοργανώτριας αρχής, Τσέις Κάρεϊ.",https://www.naftemporiki.gr/story/1593479/anablithike-kai-to-galliko-gkran-pri
MOTORSPORTS,naftemporiki.gr,Moto GP: Αναβλήθηκαν άλλα τρία γκραν πρι,"Τετάρτη, 29 Απριλίου 2020 14:24",naftemporiki.gr,"Την αναβολή ακόμη τριών αγώνων του παγκοσμίου πρωταθλήματος Moto GP ανακοίνωσαν την Τετάρτη (29/04) οι διοργανωτές. Όπως έγινε γνωστό, δεν θα διεξαχθούν τα γκραν πρι σεΓερμανία,Ολλανδία και Φινλανδία, που ήταν προγραμματισμένοι για τους μήνες Ιούνιο και Ιούλιο, λόγω της πανδημίας του κορονοϊού. Συγκεκριμένα, το γερμανικό γκραν πρι ήταν προγραμματισμένο για τις 21 Ιουνίου, ακολουθούσε αυτό στο Ασεν της Ολλανδίας, μία εβδομάδα αργότερα, ενώ το ντεμπούτο του υπό κανονικές συνθήκες θα έκανε στις 12 Ιουλίου εκείνο στην Φινλανδία. Αξίζει να σημειωθεί ότι ο αγώνας της Γερμανίας ήταν ο μοναδικός που συμπεριλαμβανόταν στο καλεντάρι του παγκοσμίου πρωταθλήματος κάθε χρόνο από το 1949, όταν και πρωτοξεκίνησε. Η σεζόν στο Moto GP δεν έχει ξεκινήσει ακόμη, με τους πρώτους 11 αγώνες να έχουν επηρεαστεί από τον ιό και οι διοργανωτές δεν είναι σε θέση ακόμη να ανακοινώσουν τι θα γίνει στο μέλλον. Έχουν αναβληθεί επίσης και οι αγώνς σεΙσπανία,  ΓαλλίακαιΙταλίακαι μοιάζει πολύ δύσκολο να πραγματοποιηθούν. Το επόμενο γκραν πρι στο αρχικό καλεντάρι είναι προγραμματισμένο για τις 9 Αυγούστου στο Μπρνο της Τσεχίας.",https://www.naftemporiki.gr/story/1594301/moto-gp-anablithikan-alla-tria-gkran-pri
ΛΟΙΠΑ ΑΘΛΗΜΑΤΑ,naftemporiki.gr,Αμπε: «Εάν δεν περιοριστεί η πανδημία δεν θα γίνουν οι Ολυμπιακοί Αγώνες»,"Τετάρτη, 29 Απριλίου 2020 11:10",naftemporiki.gr,"Λίγες ώρες αφόρου δημοσιοποιήθηκαν οι δηλώσεις του μέλους της ΔΟΕ, Τζον Κόατες, για τους Ολυμπιακούς Αγώνες, λέγοντας συγκεκριμένα ότι η διεξαγωγή τους δεν εξαρτάται αποκλειστικά από το εάν θα έχει παραχθεί το εμβόλιο κατά του κορωνοϊού, ήρθε ο πρωθυπουργός της Ιαπωνίας, Σίνζο Άμπε, να τονίσει ότι εάν δεν συγκρατηθεί η πανδημία «είναι αδύνατο να γίνουν οι Αγώνες τον επόμενο χρόνο». Η Διεθνής Ολυμπιακή Επιτροπή και η ιαπωνική κυβέρνηση ανέβαλαν τους Αγώνες τον περασμένο μήνα μέχρι τον Ιούλιο του 2021 λόγω του αντίκτυπου της επιδημίας του κορονοϊού. «Λέμε ότι οι Ολυμπιακοί και Παραολυμπιακοί Αγώνες πρέπει να διεξαχθούν κανονικά, ώστε όλοι οι αθλητές και οι θεατές να μπορούν να συμμετάσχουν με ασφάλεια. Επομένως θα ήταν αδύνατο να διεξαχθούν οι Αγώνες όπως προβλέπεται, εάν υπάρχει πανδημία κορονοϊού», υποστήριξε ο Άμπε, σε ερώτηση που τέθηκε από την πλευρά της αντιπολίτευσης για το αν το Τόκιο θα μπορούσε να φιλοξενήσει τους Αγώνες το επόμενο έτος, μετά από τη φετινή καθυστέρηση που προκλήθηκε από την πανδημία. Το Τόκιο επιβεβαίωσε 112 νέες μολύνσεις χθες, όπως ανέφερε ο εθνικός τηλεοπτικός οργανισμός NHK. Ο συνολικός αριθμός κρουσμάτων φτάνει τα 13.895 συμπεριλαμβανομένων 413 θανάτων, σύμφωνα με το NHK. Ο αριθμός αυτός είναι ακόμη χαμηλός σε σύγκριση με άλλα έθνη, αλλά οι επικριτές λένε ότι ηΙαπωνίαδεν κάνει αρκετές εξετάσεις για να αποκαλύψει το εύρος ενός προβλήματος που οδήγησε ορισμένα νοσοκομεία σε πίεση. «Όταν κοιτάζουμε αυτό που αντιμετωπίζουμε τώρα, πρέπει να προετοιμάσουμε μια παρατεταμένη μάχη ενάντια στην πανδημία. Θα είμαστε σε στενή επαφή με τη ΔΟΕ, την οργανωτική επιτροπή του Τόκιο και την κυβέρνηση του Τόκιο», δήλωσε ο Άμπε. Πρόσθεσε ότι οι Ολυμπιακοί Αγώνες «πρέπει να διεξαχθούν με τρόπο που να δείχνει ότι ο κόσμος έχει κερδίσει τη μάχη του ενάντια στην πανδημία του κορονοϊού. Διαφορετικά, θα είναι δύσκολο να διεξαχθούν οι Αγώνες». Ο πρόεδρος του Τόκιο 2020 Γιοσίρο Μότι είπε χθες στην αθλητική εφημερίδα Nikkan Sports ότι οι Αγώνες θα «ακυρωθούν» εάν δεν μπορούσαν να πραγματοποιηθούν το 2021. Επίσης την Τρίτη (29/04) ο επικεφαλής της ιατρικής ένωσης Ιαπωνίας (JMA), Γιοσιτάκε Γιοκομούρα, είπε ότι «αν δεν αναπτυχθεί αποτελεσματικό εμβόλιο, περιμένω να είναι δύσκολη η διοργάνωση των Ολυμπιακών Αγώνων.»",https://www.naftemporiki.gr/story/1594191/ampe-ean-den-perioristei-i-pandimia-den-tha-ginoun-oi-olumpiakoi-agones
ΛΟΙΠΑ ΑΘΛΗΜΑΤΑ,naftemporiki.gr,«Ζήσε Αθλητικά»: Τις 45.000 ευρώ φτάνουν έως τώρα τα έσοδα από τις δημοπρασίες,"Πέμπτη, 30 Απριλίου 2020 10:53",naftemporiki.gr,"Με ανακοίνωση που εξέδωσε η Γενική Γραμματεία Αθλητισμού γνωστοποιήθηκε ότι τα έσοδα από τις δημοπρασίες αθλητικών ενθυμίων Ολυμπιονικών και πρωταθλητών για τον αγώνα ενάντια στον κορωνοϊό του «Ζήσε Αθλητικά», αγγίζουν τις 45.000 ευρώ. Το σχετικό κείμενο που δόθηκε στη δημοσιότητα: «Αγγίζουν τις 45.000 ευρώ τα έως τώρα έσοδα των δημοπρασιών προσωπικών ενθυμίων Ολυμπιονικών και Πρωταθλητών μας, από τη σπουδαία καριέρα και τις αθλητικές τους επιτυχίες, στο πλαίσιο του προγράμματος «Ζήσε Αθλητικά»! Τα έσοδα από τις δημοπρασίες των ενθυμημάτων, οι οποίες διενεργούνται για κάθε ένα απ’ αυτά επί μία εβδομάδα στον ιστότοπο https://www.charityidols.com/el/, κατατίθενται στον ειδικό λογαριασμό του Ινστιτούτο Φαρμακευτικής Έρευνας και Τεχνολογίας, στηνΤράπεζα Πειραιώς,  για την ενίσχυση του αγώνα της χώρας μας ενάντια στον κορωνοϊό. Λίγο πριν από τα μεσάνυχτα της Τετάρτης, 29 Απριλίου, λοιπόν, η φανέλα «Νο14» του Τάκη Φύσσα, από τον αξέχαστο προημιτελικό Ελλάδα –Γαλλία1-0 στο έπος του Euro2004, δημοπρατήθηκε αντί 4.200 ευρώ και αποκτήθηκε από Κινέζο συλλέκτη! Η μπλούζα της Κατερίνας Στεφανίδη, από την επίσημη ενδυμασία της Εθνικής μας αποστολής στους Ολυμπιακούς Αγώνες στο Ρίο, όπου κατέκτησε το χρυσό μετάλλιο στο επί κοντώ, δημοπρατήθηκε αντί 1.500 ευρώ και οι δύο βολεϊκές εμφανίσεις του Παναγιώτη Πελεκούδα από τη φετινή κατάκτηση του Λιγκ Καπ με τον Παναθηναϊκό έναντι του Ολυμπιακού και από τη συμμετοχή της Εθνικής στο Ευρωπαϊκό Πρωτάθλημα, «ταξίδεψαν» στην Κύπρο, αντί 700 ευρώ. Υπενθυμίζεται ότι τα υπόλοιπα έσοδα έχουν προέλθει από τις εθνικές φανέλες των Νίκου Γκάλη (8.500), Λευτέρη Πετρούνια (1.500), Φάνη Γκέκα (810), τα γάντια του Μιχάλη Ζαμπίδη (5.000), τη ρακέτα του Στέφανου Τσιτσιπά (5.500), την εμφάνιση της Μαρίας Σάκκαρη (5.000), το διαιτητικό βραβείο πόλο από τον τελικό κόσμου στο πόλο γυναικών το 2009 (500) και από τη φανέλα με τη Γιουγκοπλάστικα του Ντίνο Ράτζα (370). Και, βέβαια, αξίζουν θερμά ευχαριστήρια σε όλους όσοι προσφέρουν τα ενθυμήματά τους, αλλά και στην ανταπόκριση του κοινού στις δημοπρασίες. Στο μεταξύ, δημοπρατούνται και συγκεντρώνουν ήδη 11.000 ευρώ : η «ασημένια» Ολυμπιακή φόρμα της Βούλας Κοζομπόλη από την απονομή του αργυρού μεταλλίου στο πόλο γυναικών μας στους Ολυμπιακούς Αγώνες Αθήνα 2004, η φανέλα «Νο21» του Κώστα Κατσουράνη από το Euro2012 στην Πολωνία, η εμφάνιση «Νο8» του Ντανίλο Γκαλινάρι με τους Λος Άντζελες Κλίπερς πέρσι στο ΝΒΑ, η «χάλκινη» φανέλα «Νο6» του Νίκου Ζήση, από το Ευρωμπάσκετ 2009, περασμένο καλοκαίρι και η φετινή εμφάνιση των Σακραμένο Κινγκς στο ΝΒΑ με το «Νο16», προς τιμή του Πρέτραγκ Στογιάκοβιτς Οι διαδικτυακές καμπάνιες «Ζήσε Αθλητικά», του Υφυπουργείου Αθλητισμού, αναδεικνύουν ακόμα μια φορά τις βασικές αξίες του αθλητισμού ως κοινωνική έκφραση, την αλληλεγγύη και τον εθελοντισμό. Οι Ολυμπιονίκες και Πρωταθλητές μας συνεισφέρουν, ευαισθητοποιούν και ενισχύουν την κοινή προσπάθεια για την αντιμετώπιση της υγειονομικής κρίσης και τους αξίζουν θερμά ευχαριστήρια. Η αθλητική οικογένεια δραστηριοποιείται συστηματικά κάθε μέρα στο «Ζήσε Αθλητικά» με περισσότερα από 150 βιντεομηνύματα, με χρήσιμες ασκήσεις για γυμναστική στο σπίτι, με διατροφικές συμβουλές και με προτροπές για αιμοδοσία, διαμέσω του καναλιού της (https://www.youtube.com/channel/UC75zIXb1UKHGaVAVytQK8uQ/videos), αλλά και των λογαριασμών της στα social media: Facebook: https://www.facebook.com/Ζήσε-Αθλητικά-101030408185517/?epa=SEARCH_BOX Twitter: https://twitter.com/ziseathlitika Instagram: https://www.instagram.com/ziseathlitika/»",https://www.naftemporiki.gr/story/1594577/zise-athlitika-tis-45000-euro-ftanoun-eos-tora-ta-esoda-apo-tis-dimoprasies
ΛΟΙΠΑ ΑΘΛΗΜΑΤΑ,naftemporiki.gr,Restart με ατομικές προπονήσεις σε εξωτερικούς χώρους,"Τρίτη, 28 Απριλίου 2020 17:49",naftemporiki.gr,"Το restart στον αθλητισμό της χώρας θα περιλαμβάνει μόνο ατομικές προπονήσεις σε εξωτερικούς χώρους. Αυτό έγινε γνωστό στη διάρκεια της τηλεδιάσκεψης που είχε την Τρίτη (28/04) ο υφυπουργός αθλητισμού, Λευτέρης Αυγενάκης με τους φορείς της αθλητικής οικογένειας, στην οποία συμμετείχαν εκπρόσωποι της νεοσύστατης Υγειονομικής Επιστημονικής Επιτροπής Αθλητισμού.  Όπως μετέδωσε το Αθηναϊκό-Μακεδονικό Πρακτορείο Ειδήσεων, η επανεκκίνηση των ομαδικών προπονήσεων (αρχικά σε ανοιχτά γήπεδα και αρκετά αργότερα στις κλειστές εγκαταστάσεις) θα εξεταστεί σε δεύτερο χρόνο, αν και οι ομοσπονδίες των ομαδικών αθλημάτων αιτήθηκαν να δοθεί η δυνατότητα στους αθλητές να ξεκινήσουν από την προσεχή εβδομάδα προγράμματα, έστω και ατομικά, προς ανάκτηση της φυσικής κατάστασης. Κατά τη διάρκεια της τηλεδιάσκεψης παρενέβη και ο εκπρόσωπος του υπουργείου υγείας, Σωτήρης Τσιόδρας, ο οποίος υπογράμμισε τη σημασία της τήρησης των μέτρων ατομικής προστασίας και των αποστάσεων, ενώ απέκλεισε κάθε πιθανότητα μαζικών συγκεντρώσεων σε αθλητικούς χώρους. Επισήμανε, ακόμη, ότι η Υγειονομική Επιστημονική Επιτροπή Αθλητισμού θα είναι αυτή που θα λαμβάνει της αποφάσεις για την επανεκκίνηση ή μη αθλητικών δρασ",https://www.naftemporiki.gr/story/1593991/restart-me-atomikes-proponiseis-se-eksoterikous-xorous
