subtitle,website,title,date,author,text,url
football,www.sport24.gr,Sky Italia: Στις 6 Αυγούστου η ρεβάνς του Ολυμπιακού με τη Γουλβς, 19 Απρ. 2020 12:06, Βασίλης Τεμπέλης,"Η UEFA θα κληθεί αυτήν την εβδομάδα στις διαδοχικές συσκέψεις με τις 55 εθνικές ομοσπονδίες μέλη της (Τρίτη 21/4), ΕCA και European Leagues (Τετάρτη 22/4) και της εκτελεστικής της επιτροπής (Πέμπτη 23/4) να εξετάσει τα σενάρια επιστροφής στη δράση και τις δυο διοργανώσεις της με πλάνα και ημερομηνίες. Σύμφωνα με το Sky Italia το σχέδιο είναι για επιστροφή σε   και   στη δράση αρχές Αυγούστου - εφόσον έχουν ολοκληρωθεί τα εθνικά πρωταθλήματα όπως έχει ορίσει ως προϋπόθεση η UEFA στην επιστολή της - και ολοκλήρωση των διοργανώσεων με ματς κάθε τρεις ημέρες στα τέλη του μήνα. Το πλάνο είναι να επιστρέψει η δράση στο Europa League στις 2-3 Αυγούστου και να γίνει με τα μοναδικά πρώτα ματς που δεν διεξήχησαν (Σεβίλλη -  και  - Χετάφε). Οι ρεβάνς -   - σύμφωνα με το ιταλικό ρεπορτάζ τοποθετείται για τις 6 Αυγούστου. 
 Ακολουθούν ματς σε χρονικό διάστημα τριών ημερών το ένα από το άλλο. Τα πρώτα ματς των προημιτελικών θα προγραμματιστούν για τις 10 Αυγούστου, οι ρεβάνς για τις 13. Τα πρώτα ματς των ημιτελικών θα προγραμματιστούν για τις 17 Αυγούστου και οι ρεβάνς για τις 20. Ο τελικός θα προγραμματιστεί για τις 27 Αυγούστου στο Γκντανσκ. Σύμφωνα με το ρεπορτάζ του ιταλικού δικτύου η επιστροφή στο Champions League σηματοδοτείται για τις 7-8 Αυγούστου. Το πλάνο είναι να διεξαχθούν εκείνες τις δυο ημέρες οι εναπομείνασες ρεβάνς της φάσης των 16. Οι αναμετρήσεις δηλαδή  - Νάπολι,  - Λιόν,  -  και Μάντσεστερ Σίτι -  . Υπενθυμίζεται ότι ήδη έχουν διεξαχθεί οι τέσσερις ρεβάνς και έχουν προκριθεί στα προημιτελικά οι   (απέκλεισε την Ντόρτμουντ), Αταλάντα (απέκλεισε τη Βαλένθια), Ατλέτικο (απέκλεισε τη  ) και Λειψία (απέκλεισε την Τότεναμ). 
 Από εκεί και πέρα σύμφωνα με το ιταλικό ρεπορτάζ θα έχουμε και πάλι ματς κάθε τρεις ημέρες. Τα πρώτα ματς των προημιτελικών (πάντα σύμφωνα με το Sky Italia) θα διεξαχθούν 11-12 Αυγούστου και οι ρεβάνς 14-15. Τα πρώτα ματς των ημιτελικών 18-19 Αυγούστου και οι ρεβάνς 21-22. Ο τελικός στις 29 του μήνα στην Κωνσταντινούπολη. Ως ημερομηνία έναρξης του Champions League της νέας σεζόν τίθεται η 20ή Οκτωβρίου. Προ ημερών η Telegraph σε ρεπορτάζ της είχε αποκαλύψε την προτεινόμενη ημερομηνία διεξαγωγής των τελικών του Champions League και του Europa League, ενώ το Sport24.gr σας είχε ενημερώσει  . ",https://www.sport24.gr/football/diethnes-podosfairo/sky-italia-stis-6-aygoustoy-h-revans-toy-olympiakou-me-th-goylvs.5702810.html
Basket,www.sport24.gr,Κίνα: Σκέψεις να ολοκληρωθεί η σεζόν χωρίς ξένους, 19 Απρ. 2020 11:14,,"Το κινεζικό πρωτάθλημα   υπό τον φόβο νέου κύματος κρουσμάτων του  . Όποτε και αν ξεκινήσει ωστόσο το πρωτάθλημα, υπάρχει ένα σενάριο που κερδίζει πόντους: Να διεξαχθεί χωρίς ξένους παίκτες.  Σύμφωνα με κινεζικά δημοσιεύματα, οι ιθύνοντες της λίγκας σκέφτονται σοβαρά να ολοκληρωθεί το πρωτάθλημα μόνο με γηγενείς παίκτες, τόσο για λόγους ασφαλείας, όσο και για να να υπάρξει ισονομία.  Την δεδομένη στιγμή οι περισσότεροι ξένοι (στην πλειοψηφία τους Αμερικανοί) βρίσκονται στις χώρες τους, αν και αρκετοί είχαν προλάβει να μεταβούν στην Κίνα. Με τις απαγορεύσεις όμως των πτήσεων και την υποχρεωτική καραντίνα όσων μετακινούνται από χώρα σε χώρα, η οποιαδήποτε σκέψη για επανεκκίνηση της λίγκας γίνεται όλο και πιο πολύπλοκη. Αυτός ακριβώς είναι ο λόγος που στην Κίνα εξετάζουν το ενδεχόμενο να ολοκληρωθεί η σεζόν με γηγενείς παίκτες για να μην έχουν άλλα προβλήματα. ",https://www.sport24.gr/Basket/china/kina-skepseis-na-oloklhrwthei-h-sezon-xwris-ksenoys.5702809.html
Basket,www.sport24.gr,Κορονοϊός: Τίμα και Γιόβιτς... μένουν σπίτι κάνοντας μαγικά με μπάλα, 19 Απρ. 2020 12:39,,"Η  ... μένει και αυτή σπίτι εν μέσω της έξαρσης του  , ανεβάζοντας ένα VIDEO που δείχνει τους Νίκολα Γιόβιτς και Γιάνις Τίμα να προσπαθούν να... σκοτώσουν την ώρα τους. Κάπως έτσι, ο Γιόβιτς ζητάει από τον γιο του να του βγάλει μία alley oop πάσα για να καρφώσει σε παιδική μπασκέτα και ο Τίμα αρχίζει να γυρνάει τη μπάλα στο δάκτυλό του, μπαίνοντας και βγάινοντας σε αμάξι με αυτό τον τρόπο!",https://www.sport24.gr/Basket/Euroleague/eb-news/Khimki/koronoios-tima-kai-giovits-menoyn-spiti-kanontas-magika-me-mpala.5702829.html
Basket,www.sport24.gr,Μπακς: Οι ελληνικές ευχές τους για το Πάσχα, 19 Απρ. 2020 09:00,,"Η παρουσία του Γιάννη Αντετοκούνμπο έκανε τους Μπακς σε έναν βαθμό την ομάδα των Ελλήνων, με το Μιλγουόκι να αγκαλιάζει αυτό το γεγονός. Εδώ και χρόνια ποστάρει μηνύματα στα ελληνικά και αυτό έκανε και τώρα.  Αυτή τη φορά λοιπόν τα ""Ελάφια"" μοίρασαν ευχές στα ελληνικά στον λογαριασμό τους στο Facebook για χάρη το Πάσχα, γράφοντας: "" . 
",https://www.sport24.gr/Basket/USA/NBA/mpaks-oi-ellhnikes-eyxes-toys-gia-to-pasxa.5702788.html
Basket,www.sport24.gr,VIDEO: Το πρώτο triple-double του Γιάννη Αντετοκούνμπο, 19 Απρ. 2020 08:45,,"Το ΝΒΑ συνεχίζει τα δώρα στους φίλους της λίγκας, ανεβάζοντας ολόκληρους αγώνες στο κανάλι του στο youtube. Την σκυτάλη έδωσε τώρα λοιπόν στον Γιάννη Αντετοκούνμπο.  Έχοντας παρουσιάσει τα χαράματα  , κόντρα στους Λέικερς του Κόμπι Μπράιαντ στις 22 Φεβρουαρίου 2016, στην συνέχεια τον παρέθεσε ολόκληρο στο youtube. Υπενθυμίζεται ότι στον συγκεκριμένο αγώνα οι Μπακς πήραν τελικά τη νίκη με 108-101, με τον Γιάννη να ολοκληρώνει το παιχνίδι με 27 πόντους, 12 ριμπάουντ, 10 ασίστ, 3 κλεψίματα και 4 κοψίματα σε 42 λεπτά συμμετοχής. Για τους Λέικερς, ο Κόμπι είχε 15 πόντους με 3/12 σουτ και 5 ριμπάουντ στο τελευταίο του παιχνίδι στο Μιλγουόκι.  Αναλυτικά οι πόντοι των δύο ομάδων: : Αντετοκούνμπο 27 (12 ριμπάουντ, 10 ασίστ), Πάρκερ 15, Μίντλετον 18 (1), Μέιο 12 (4), Πλάμλι 14 (5 ριμπάουντ), Κάρτερ-Γουίλιαμς 10 (5 ριμπάουντ), Μονρό 12 (8 ριμπάουντ), Βον, Ο'Μπράιανρτ, Νόβακ : Ράσελ 9 (3), Ραντλ 5 (7 ριμπάουντ), Κλάρκσον 15 (4), Μπράιαντ 15 (1 τρίποντο, 5 ριμπάουντ), Χίμπερτ 2, Γουίλιαμς 14 (6 ριμπάουντ), Γιανγκ 19 (3), Μπας 11, Χουέρτας 3 (1), Μπλακ 2, Νανς 2, Κέλι 4",https://www.sport24.gr/Basket/USA/NBA/video-to-prwto-triple-double-toy-giannh-antetokounmpo.5702784.html
Basket,www.sport24.gr,Ντίνγουιντι: Θέλει να αγωνιστεί με τη Νιγηρία στους Ολυμπιακούς Αγώνες, 19 Απρ. 2020 08:26,,"Ο Σπένσερ Ντίνγουιντι ξεκίνησε τις διαδικασίες για να αποκτήσει διαβατήριο από τη Νιγηρία. Ο στόχος του, σαφής: Θέλει να αγωνιστεί στους Ολυμπιακούς Αγώνες της Ιαπωνίας το 2021! Την είδηση αποκάλυψε το Athletic και , με τον γκαρντ των Νετς από την πλευρά του να γράφει στο twitter λίγο αργότερα ότι ""τώρα το ξέρετε όλοι"". Σε περίπτωση που ο 27χρονος γκαρντ καταφέρει να ολοκληρώσει τις διαδικασίες, γίνεται σαφές ότι η Νιγηρία θα εμφανιστεί σαφώς πιο ισχυρή, την ίδια στιγμή που οι Νιγηριανοί έδειξαν από νωρίς τις προθέσεις του προσλαμβάνοντας τον Μάικ Μπράουντ (βοηθό του Στιβ Κερ στους Γουόριορς) στον πάγκο τους. Την φετινή σεζόν ο Ντίνγουιντι είχε 20.6 πόντους, 3.5 ριμπάουντ και 6.8 ασίστ μέσο όρο, ενώ ήταν 10ος στις θέσεις των γκαρντ στην ψηφοφορία για το All Star Game και εκ των βασικών υποψηφίων για το βραβείο του ""Εκτου παίκτη της χρονιάς"".",https://www.sport24.gr/Basket/USA/NBA/ntingoyinti-thelei-na-agwnistei-me-th-nighria-stoys-olympiakous-agwnes.5702780.html
Basket,www.sport24.gr,Μπόγκουτ: Σκέφτεται να αποσυρθεί, 19 Απρ. 2020 14:25,,"Στα 35 του χρόνια ο Άντριου Μπόγκουτ αρχίζει σιγά-σιγά να βλέπει το τέλος της διαδρομής του στον χώρο του μπάσκετ. Για την ακρίβεια, η γραμμή του τερματισμού ίσως να είναι πιο κοντά από ότι φαντάζεται ο κόσμος.  Ο άλλοτε ΝΒΑερ σέντερ είχε αφήσει να εννοηθεί ότι θα αποσυρθεί από τα παρκέ μετά τους Ολυμπιακούς Αγώνες της Ιαπωνίας. Με τους αγώνες ωστόσο να μεταφέρονται για το 2021, ενδέχεται τελικά η απόφασή του να έρθει πιο γρήγορα. Σε συνέντευξη που παραχώρησε σε μέσο της χώρας τους, ο Μπόγκουτ τόνισε ότι πολύ σύντομα θα ανακοινώσει την απόφασή του.  δήλωσε χαρακτηριστικά ο Μπόγκουτ, για να προσθέσει Ο Μπόγκουτ παραδέχθηκε ότι η συμμετοχή στους Ολυμπιακούς Αγώνες της Αυστραλίας είναι ένα κίνητρο για αυτόν, ωστόσο πρέπει να τα υπολογίσει όλα, αφού πλέον δεν είναι παιδάκι: ",https://www.sport24.gr/Basket/mpogkoyt-skeftetai-na-aposyrthei.5702859.html
Basket,www.sport24.gr,The Last Dance: Είδαμε πρώτοι το ντοκιμαντέρ για τον Μάικλ Τζόρνταν, 17 Απρ. 2020 14:31, Χάρης Σταύρου,"Παρακολούθησα πρόσφατα το ματς Νικς - Μπουλς του 1995, εκείνο τον αγώνα του MJ που μετρούσε λίγες μέρες μετά από το... original ""I'm back"".  . Στα δικά μου μάτια, ο Μάικλ Τζόρνταν ήταν ένα ρομπότ, μια μηχανή, ένα τέρας της φύσης που ομοιό του δεν έχει υπάρξει στην ιστορία των σπορ. Για κάποιους μπασκετικούς κορυφαίος είναι ο Λάρι Μπερντ, για άλλους ο Μάτζικ Τζόνσον, για τους νεότερους ο Κόμπι Μπράιαντ και για τους ακόμη πιο νέους ο ΛεΜπρόν Τζέιμς. Τον Μπιλ Ράσελ, τον Γουίλτ Τσέιμπερλεϊν, τον Καρίμ Αμπντούλ-Τζαμπάρ, τον Όσκαρ Ρόμπερτον δεν τους προλάβαμε. Οι 30-40άρηδες όμως μεγαλώσαμε με τους Σικάγο Μπουλς, όλο και κάποιο καπελάκι, κάποιο μπλουζάκι, κάποιο λάβαρο είχαμε στα παιδικά μας χρόνια με σήμα τον ταύρο. Δεν γίναμε όλοι ""Bulls fans"", οι περισσότεροι όμως αγαπήσαμε το άθλημα χάρη σε αυτόν τον ασύγκριτο τύπο κι ας... λοξοδρομήσαμε στην πορεία με τους Άιβερσον και με τους Γουέστμπρουκ. Από τη στιγμή  που έμαθα ότι θα επισπευσθεί η πρεμιέρα του ""The Last Dance"" και για αρκετές ημέρες προσπαθούσα να βρω με ποιον  τρόπο θα έβλεπα το ντοκιμαντέρ. Είμαι φανατικά εναντίον της πειρατείας, δεν θα το ""κατέβαζα"" παράνομα, όμως πολύ γρήγορα  ήρθε η ανακούφιση για να διώξει το άγχος.  , ακόμη κι έτσι όμως ένιωθα την ανάγκη να βρω και να δω το ντοκιμαντέρ νωρίτερα. "" το ESPN κάνει πρεμιέρα μία μέρα πριν τα δύο πρώτα επεισόδια παίξουν στο Netflix) "". Και τελικά με λίγη προσπάθεια, εξασφάλισα από το Netflix τα πέντε πρώτα επεισόδια! 
 Για να είμαι απόλυτα ειλικρινής, δεν ήξερα τι να περιμένω από το ""The Last Dance"". Σκεφτόμουν ότι γράφοντας αυτό το κείμενο θα πρέπει να αποφύγω τα spoilers, από την άλλη όμως μιλάμε για αληθινά γεγονότα ""ντυμένα"" με αρκετά πλάνα που δεν είχαμε δει μέχρι σήμερα. Οπότε αν φτάσατε μέχρι εδώ, αποφασίστε αν θέλετε να συνεχίσετε ρισκάροντας να διαβάσετε κάποιες  λεπτομέρειες από το ντοκιμαντέρ που θα κάνει πρεμιέρα στο Netflix τη Δευτέρα (20/4) και θα ολοκληρωθεί σχεδόν έναν μήνα αργότερα. Ο ένας και μοναδικός Θοδωρής Δημητρόπουλος από το Oneman.gr ήταν ξεκάθαρος: "" "". So... Ο τελευταίος χορός... Πως προέκυψε ο τίτλος; Γιατί οι Μπουλς διαλύθηκαν ενώ κέρδιζαν; Ποιες ήταν οι σχέσεις του Μάικλ Τζόρνταν με τον Φιλ Τζάκσον; Ζήλευε ο Τζέρι Κράους την επιτυχία των πρωταγωνιστών, ήταν ένα ""γουρούνι"" ή ένας πραγματικά σπουδαίος παράγοντας; Πόσο πίεσαν τον MJ οι Ντιτρόιτ Πίστονς και ο Λάρι Μπερντ; Γιατί ο AIR σιχαινόταν τον Αϊζάια Τόμας και τον Κλάιντ Ντρέξλερ; Ποια απόφαση του Σκότι Πίπεν εξόργισε τον Τζόρνταν και πόσο δύσκολη ήταν η διαχείριση του Ντένις Ρόντμαν; Δεν είναι όλα, είναι μερικά από τα ερωτήματα στα οποία απαντά το ντοκιμαντέρ, το οποίο πηγαίνει συνεχώς εμπρός-πίσω για να συνδέσει την πορεία της δυναστείας των Ταύρων και, τελικά, δεν επικεντρώνεται αποκλειστικά ούτε στον MJ, ούτε στην τελευταία του σεζόν στο Σικάγο. Το πρώτο επεισόδιο ξεκινά με μεγάλες ταχύτητες. Με το ταξίδι των Μπουλς στο Παρίσι για το ματς με τον Ολυμπιακό στο McDonald's, με πλάνα από τον εκλιπόντα θρύλο Ντέιβιντ Στερν, με τους Beattles να μπαίνουν στην εξίσωση και τον Μάικ Τζόρνταν να μετατρέπεται στον Μάικλ που λατρέψαμε. Η στιγμή που η μητέρα του διαβάζει ένα γράμμα από το παρελθόν και μαζί βουρκώνουν, η ατάκα "" "" πριν από το σημαντικότερο ματς της κολεγιακής του καριέρας μπροστά σε 60.000 θεατές, το Draft και η εξήγηση για το πως κατρακύλησε στο νούμερο 3 είναι... πεντανόστιμα ορεκτικά. Η ιστορία όμως με την κοκαΐνη στο ξενοδοχείο των Μπουλς, είναι αυτή που επισκιάζει τα πάντα. 
 Αν και δεν παρακολουθώ σειρές, καθώς προτιμώ να ""επενδύω"" σε μεταμεσονύκτιους αγώνες ΝΒΑ, ομολογώ ότι είμαι άνθρωπος που θα ""καταναλώσει"" σεζόν σε 1-2 μέρες. Το έκανα με τη σειρά του Netflix ""Formula 1: Drive to survive"" βλέποντας δύο σεζόν σε τρεις ημέρες, οπότε ήταν εύκολο να δω τα πέντε πρώτα επεισόδια του ""The Last Dance"" σε ένα βράδυ. Πενηντάλεπτα, γρήγορα στην εξέλιξή τους, χωρίς λογοκρισία και με πλάνα από συνεργείο που περιέργως οι Μπουλς επέτρεψαν να τους ακολουθεί στην τελευταία σεζόν. Πως προέκυψε ο τίτλος του ντοκιμαντέρ, καλύτερα να το μάθετε βλέποντάς του. Η απάντηση θα έρθει νωρίς. Η μουσική υπόκρουση κάποιες στιγμές θα σας ηρεμήσει και κάποιες θα σας κάνει να γουρλώσετε τα μάτια σας, θα νιώσετε την ένταση, υπάρχουν αρκετές στιγμές και πολλά λεπτά με θυμό, με νεύρα, με κόντρες, με ιστορίες γεμάτες μίσος. Σαν αυτό που νιώθει ο Τζόρνταν για τον Αϊζάια Τόμας, τον οποίο παραδέχεται πως σιχαίνεται. Παραδέχεται πως ουσιαστικά εκείνος τον ""έκοψε"" από το ρόστερ της Dream Team επειδή το μισό ρόστερ εκείνης της ομάδας δεν ήθελε να τον βλέπει. Το γιατί, θα το δείτε αλλά θα πρέπει να κάνετε λίγη υπομονή μέχρι το πέμπτο επεισόδιο. Αν μεγάλωσες στα 90s, αν ανατριχιάζεις με το intro των Μπουλς, αν αγάπησες το μπάσκετ χάρη σε εκείνη την εποχή, δεν γίνεται να μη σε συγκινήσει αυτό το ντοκιμαντέρ. Είναι εντυπωσιακό το γεγονός ότι μέσα σε λίγα λεπτά θα προλάβεις να βουρκώσεις και θα λυγίσεις από τα γέλια, θα μείνεις με ανοιχτό το στόμα και θα κρατήσεις μέσα σου επιφωνήματα έκπληξης ή θαυμασμού. Θα γελάσεις με τον Νταγκ Κόλινς, τον... Τάκη Λεμονή (λόγω του τρόπου με τον οποίο πανηγύριζε, με τα χέρια ψηλά διασχίζοντας το παρκέ) του ΝΒΑ, θα στραβώσει το πρόσωπό σου όταν εμφανιστεί στην οθόνη ο Κόμπι Μπράιαντ και με έναν αναπάντεχο τρόπο βάλει τέλος στις συγκρίσεις ανάμεσα σε εκείνον και τον MJ. Θα αναρωτηθείς τι θα γινόταν στην εποχή των social media αν ο προπονητής μιας δυναστείας ήξερε πριν καν ξεκινήσει η χρονιά πως "" "", θα εντυπωσιαστείς από τα ακραία σκαμπανεβάσματα εκείνης της ομάδας μέσα σε λίγους μόνο μήνες. Θα προβληματιστείς όταν δεις ότι ο Ντένις Ρόντμαν ήταν πραγματικά μια πολύ ιδιαίτερη, ευαίσθητη και ευγενική ψυχή και όχι ο κακός, ο τρελός, ο ανισόρροπος τύπος που νόμιζες επειδή έβαφε... παρδαλά τα μαλλιά του, φορούσε γούνες και έκανε μανικιούρ. Θα συνειδητοποιήσεις ότι   το ζουν πολύ μεγαλύτερες προσωπικότητες από τον Σοφοκλή, άνθρωποι όπως ο Ρόντμαν που νομίζαμε ότι τα είχαν όλα, μα έφτασαν κυριολεκτικά μια σκανδάλη μακριά από έναν άδοξο επίλογο. Σπουδαίος άνθρωπος το ""Σκουλήκι"", ακόμη πιο σπουδαίος ο Φιλ Τζάκσον για όσα κατάφερε κυρίως έξω από τα παρκέ. Με συζήτηση, στοργή και σεβασμό για τους γύρω του. 
 Θα δακρύσεις, θα πας πίσω και θα ξαναδείς τη σκηνή που ο Τζόρνταν εξηγεί τη στιγμή που ο Ντένις Ρόντμαν ζήτησε άδεια για να πάει διακοπές στο Λας Βέγκας στη διάρκεια της σεζόν (!) και ίσως αυτό να είναι και το highlight των πρώτων πέντε επεισοδίων. Ακόμη κι αν θεωρείς ότι είσαι σκληροπυρηνικός οπαδός του MJ, θα νιώσεις ότι πήρες πληροφορίες που δεν ήξερες. Θα αισθανθείς ότι ο Τζόρνταν λάτρεψε και μίσησε τον Σκότι Πίπεν, θα καταλάβεις πότε αισθάνθηκε προδομένος από τον ""Ινδιάνο"", θα μάθεις για τις μυστικές προπονήσεις που έκανε στο Νορθ Καρολάινα ενώ είχε υποστεί συντριπτικό κάταγμα, θα ακούσεις για το βράδυ που η Κάρμεν Ελέκτρα κρύφτηκε κάτω από τα σκεπάσματα για να μην την ανακαλύψει, θα δεις ένα τρομερό ping-pong με τον Αϊζάια Τόμας και θα ακούσεις δύο διαφορετικές εκδοχές για το πως προέκυψε το μίσος του AIR για εκείνον. Θα δεις την αντιπάθειά του για τον Κλάιντ Ντρέξλερ, την προπόνηση της Dream Team που για κάποιους είναι "" "". Θα λυγίσεις όταν δεις τον Κόμπι Μπράιαντ να μιλάει για τον ""μεγάλο μου αδελφό"", μία εβδομάδα πριν σκοτωθεί με την κόρη του και ακόμη επτά άτομα στο αεροπορικό δυστύχημα του Καλαμπάσας. Θα καταλάβεις πως ήταν πραγματικά ΠΟΛΥ βαθιά η σχέση τους όταν ακούσεις τον Μπλακ Μάμπα να εξηγεί πως ξεκίνησαν όλα. Στο πέμπτο επεισόδιο, το οποίο το Netflix αποφάσισε να αφιερώσει στη μνήμη του... Τρεις μήνες πριν, ταξίδεψα στο Παρίσι για να δω την αναμέτρηση των Μπακς με τους Σάρλοτ Χόρνετς. Πήγα στην αίθουσα των συνεντεύξεων Τύπου του Μπερσί περίπου μιάμιση ώρα πριν φτάσουν εκεί ο Μαρκ Λάσρι, ιδιοκτήτης της ομάδας του Μιλγουόκι και ο Μάικλ Τζόρνταν, ιδιοκτήτης της ομάδας της Σάρλοτ. Η αίθουσα είχε ήδη πολύ κόσμο. 60 λεπτά πριν από την προγραμματισμένη έναρξη της διαδικασίας, δεν υπήρχε καρέκλα. 30 λεπτά αργότερα, ο χώρος είχε διπλάσιο κόσμο από αυτόν που μπορούσε να φιλοξενήσει. Δεν υπήρχε φασαρία, μόνο αυτή η σιγή της αναμονής και της ετοιμότητας. Όλοι περίμεναν πότε ο MJ θα άνοιγε την πόρτα. Όταν το έκανε, περίπου 300 κινητά σηκώθηκαν στον αέρα για να τον τραβήξουν μια φωτογραφία, με τους 20-25 cameramen να φωνάζουν έξαλλοι αλλά να μην τους ακούει κανείς. Ήθελα να ρωτήσω τον Τζόρνταν αν θυμόταν την προηγούμενη φορά που βρέθηκε στο Παρίσι, με πρόλαβε όμως εκείνος καθώς θυμήθηκε τον αγώνα με τον Ολυμπιακό που έγινε πριν από 23 χρόνια στο ίδιο γήπεδο. Κι ενώ η προσοχή μου ήταν καρφωμένη πάνω του, άκουσα κάποιον δίπλα μου να φυσάει τη μύτη του. Πολύ γρήγορα κατάλαβα ότι έκλαιγε! Έκλαιγε γιατί βρισκόταν στην ίδια αίθουσα με τον Μάικλ Τζόρνταν, βούρκωσα κι εγώ γιατί κατάλαβα ότι τη δική μου χαρά και τη δική μου συγκίνηση την ένιωθαν κι άλλοι γύρω μου. Αυτός είναι ο Μάικλ Τζόρνταν. Ο δικός μας Θεός. Χωρίς εκείνον το ΝΒΑ και το μπάσκετ θα ήταν πολύ ""μικρότερα"". Είμαι σίγουρος ότι ο άγνωστος φίλος από το βράδυ του περασμένου Γενάρη στο Μπερσί δεν θα θυμώσει από τη φωτογραφία, ούτως ή άλλως όλοι έχουμε κλάψει για τα ινδάλματά μας. 
",https://www.sport24.gr/Basket/USA/NBA/the-last-dance-eidame-prwtoi-to-ntokimanter-gia-ton-maikl-tzorntan.5702472.html
football,www.sport24.gr,"Κασίγιας: ""Μετά το έμφραγμα φοβόμουν να περπατήσω και να κοιμηθώ""", 19 Απρ. 2020 08:17, Βασίλης Τεμπέλης,"Ο Ίκερ Κασίγιας οδεύει προς τη συμπλήρωση ενός χρόνου από το έμφραγμα του μυοκαρδίου που υπέστη καθώς συμμετείχε σε προπόνηση της Πόρτο την Πρωτομαγιά του 2019. Ο υποψήφιος πρόεδρος της ισπανικής ομοσπονδίας, μιλώντας σε επίσημο κανάλι των δράκων, υποστήριξε ότι ο πρώτος μήνας μετά το καρδιακό επεισόδιο ήταν πολύ δύσκολος. Τόσο που φοβόταν όχι μόνο να κάνει κάποια άσκηση, αλλά ακόμη και να περπατήσει ή να κοιμηθεί. Ο 38χρονος Ισπανός ξεκαθάρισε, ωστόσο, ότι το ξεπέρασε με τη βοήθεια των γιατρών. , υποστήριξε ο ""Σαν Ίκερ"".",https://www.sport24.gr/football/diethnes-podosfairo/kasigias-meta-to-emfragma-fovomoyn-na-perpathsw-kai-na-koimhthw.5702779.html
Basket,www.sport24.gr,Κορονοϊός: Πρόταση της ACB να κριθεί ο πρωταθλητής σε τουρνουά 12 ομάδων, 19 Απρ. 2020 13:53, Γιώργος Οικονόμου,"Σύμφωνα με δημοσιεύματα των προηγούμενων ημερών  με το οποίο θα ολοκληρωθεί το ισπανικό πρωτάθλημα. Κάποιες λεπτομέρειες που είχαν διαρρεύσει ωστόσο φαίνεται ότι ήταν διαφορετικές.  Όπως αναφέρουν ισπανικά Μέσα, η διοργανώτρια αρχή έχει μια ξεκάθαρη πρόταση η οποία θα συζητηθεί σε τηλεδιάσκεψη που θα γίνει τη Δευτέρα (20/4), με στόχο να ολοκληρωθεί κανονικά η φετινή σεζόν και διαφέρει ελαφρώς από αυτή που είχε κυκλοφορήσει.  Συγκεκριμένα η ACB θα προτείνει τη διεξαγωγή ενός τουρνουά σε ένα μέρος, ωστόσο με τη συμμετοχή 12 και όχι 16 ομάδων, με την έναρξη του τουρνουά να ορίζεται για 15 Ιουνίου. Οι ομάδες θα χωριστούν σε δύο γκρουπ των έξι. Οι πρώτοι από κάθε όμιλο θα παίξουν στους τελικούς σε σειρά best of five ενώ δε θα υποβιβαστεί καμία ομάδα. Αυτό που μένει να μάθουμε λοιπόν, είναι αν αυτή η πρόταση θα πάρει έγκριση.",https://www.sport24.gr/Basket/SpainBasket/koronoios-protash-ths-acb-na-krithei-o-prwtathlhths-se-toyrnoya-12-omadwn.5702854.html
