subtopic,website,title,date,author,text,url
sports,www.cnn.gr,Ολυμπιακοί Αγώνες: Διεξαγωγή τον Ιούλιο του 2021; Τι αποκαλύπτουν ιαπωνικά ΜΜΕ,"

				09:27 Κυριακή, 29 Μαρτίου 2020
				

			","
								Newsroom				
				, CNN Greece			","Η αυλαία των αγώνων στο ,, που αναβλήθηκαν την περασμένη εβδομάδα εξαιτίας της πανδημίας του ,, αναμένεται πλέον να ανέβει την, με την τελετή έναρξης και να πέσει με την τελετή λήξης την 8η Αυγούστου, δηλαδή αντίστοιχα μία ημέρα νωρίτερα απ’ ό,τι προβλεπόταν φέτος, μετέδωσε η ιαπωνική δημόσια τηλεόραση NHK, επικαλούμενη πηγές τις οποίες δεν κατονόμασε.,Ο πρωθυπουργός , ανακοίνωσε την Τρίτη την αναβολή των αγώνων για περίπου έναν χρόνο, έπειτα από συζήτησή του με τον πρόεδρο της ΔΟΕ ,.,Αυτή είναι η , έπειτα από 124 χρόνια, αν κι έχουν ακυρωθεί εξαιτίας πολέμων αρκετές φορές, όπως εκείνοι του 1940, που επρόκειτο επίσης να διεξαχθούν στο Τόκιο.,Η αναβολή χαρακτηρίζεται ,, η οποία έχει επενδύσει περίπου 12 δισεκατομμύρια δολάρια για την προετοιμασία τους, ωστόσο οι αγορές αρχικά πανηγύρισαν την απόφαση, καθώς αρκετοί επενδυτές προεξοφλούσαν την ακύρωση της διοργάνωσης.,Ο υπουργός Οικονομικών Γιασουτόσι Νισιμούρα δήλωσε σήμερα ότι η κυβέρνηση, η οποία ετοιμάζει , που ο Σίνζο Άμπε υπογράμμισε πως θα είναι το μεγαλύτερο που έχει υπάρξει ποτέ στην Ιαπωνία, θα λάβει υπόψη της πως , (δισεκατομμύρια δολάρια) τη ζήτηση τόσο φέτος όσο και το 2021, ως τη διεξαγωγή της διεθνούς αθλητικής διοργάνωσης.,«Θα το λάβουμε υπόψη μας» στην κατάρτιση των μέτρων τόνωσης της οικονομικής δραστηριότητας, διαβεβαίωσε ο Νισιμούρα κατά τη διάρκεια συνέντευξης που παραχώρησε σε τηλεοπτική εκπομπή.",https://www.cnn.gr/news/sports/story/213167/olympiakoi-agones-diexagogi-ton-ioylio-toy-2021-ti-apokalyptoyn-iaponika-mme
sports,www.cnn.gr,Ντόρτμουντ: Επιστροφή στις προπονήσεις εν μέσω κορωνοϊού,"

				22:04 Κυριακή, 29 Μαρτίου 2020
				

			","
								","Παρά το γεγονός πως δεν είναι δεδομένο το πότε θα επαναρχίσει η Bundesliga, στη Ντόρτμουντ φιλοδοξούν με αυτό τον τρόπο να ,, παίρνοντας παράλληλα τα κατάλληλα μέτρα αποφυγής εξάπλωσης του ιού σε παίκτες και επιτελείο.,Ο 26χρονος μέσος Εμρέ Τσαν εμφανίστηκε ενθουσιασμένος, μιλώντας στο Sport1: «Είναι πολύ σημαντικό να βγούμε και πάλι στο γήπεδο. Αφού θα είμαστε δίδυμο (σ.σ. ο πρώην άσος της Γιουβέντους θα προπονείται μαζί με τον Μαχμούντ Νταχούντ), δεν θα είναι τόσο βαρετό»., με την , για επέκταση του τρέχοντος συμβολαίου του, δεν έχει ο ,.,Ο 55χρονος ανέλαβε την τεχνική ηγεσία των Βαυαρών το Νοέμβριο, αντικαθιστώντας τον Νίκο Κόβατς. Υπό τις οδηγίες του, η Μπάγερν κέρδισε τα 18 από τα 21 παιχνίδια που έδωσε σε όλες τις διοργανώσεις, παραμένοντας αήττητη μέσα στο 2020. Μάλιστα, στο διάστημα αυτό επέστρεψε στην κορυφή της Bundesliga – έχοντας και διαφορά τεσσάρων βαθμών – ενώ είναι με το ένα πόδι στα προημιτελικά του UEFA Champions League, έχοντας κερδίσει 3-0 την Τσέλσι στο Λονδίνο στο πρώτο ματς.,Πρόθεση των διοικούντων το σύλλογο ,, όπως και τους πρωτοκλασάτους ποδοσφαιριστές, παρά το ότι το συμβόλαιό του ολοκληρώνεται το καλοκαίρι του 2021. Ο ίδιος, ωστόσο, δεν έχει καμία διάθεση για τέτοιου είδους συζητήσεις.,«,», ξεκαθάρισε ο Φλικ και προσέθεσε: «Πρέπει να τελειώσει πρώτα αυτή η πρωτόγνωρη κατάσταση που ζούμε με την πανδημία. Προέχει η υγεία. Προσωπικά, πιστεύω πως θα συνεχιστεί η σεζόν. Προτιμώ να σκέφτομαι θετικά».,«,. Οι ομάδες της Serie A ήδη έκαναν λάθος όταν ήταν η στιγμή να σταματήσουν. Πρέπει να καταλάβουν ότι τίποτα δεν θα είναι το ίδιο όπως πριν»: τάδε έφη Βιντσέντζο Σπανταφόρα, ο υπουργός Αθλητισμού της Ιταλίας, ο οποίος ανακοίνωσε ακόμη μεγαλύτερη διακοπή του πρωταθλήματος.,«Σκεφτόμουν τα παιδιά μας, που συνήθιζαν να κάνουν χειραψίες, να αγκαλιάζονται, να περνούν το μπουκάλι με το νερό ο ένας στον άλλον... Όλα αυτά θα λείψουν για μεγάλο χρονικό διάστημα. Το να ξαναρχίσουν οι αγώνες στις 3 Μαΐου δεν είναι ρεαλιστικό», δήλωσε σε συνέντευξή του στην εφημερίδα Repubblica.,«Αύριο θα προτείνω ,. Θα επεκτείνω το μέτρο και στις προπονήσεις, στις οποίες δεν είχαμε παρέμβει επειδή υπήρχε ακόμα η πιθανότητα να διεξαχθούν οι Ολυμπιακοί Αγώνες», συμπλήρωσε.,Όπως υπογράμμισε στη συνέχεια «... ο αθλητισμός δεν είναι μόνο ποδόσφαιρο και το ποδόσφαιρο δεν είναι μόνο η ανώτατη εθνική κατηγορία. Από τη Serie A περιμένω τα αιτήματα να συνοδεύονται από μια σοβαρή επιθυμία για αλλαγή: οι μεγάλοι σύλλογοι ζουν σε μια φούσκα, πέρα από τις δυνατότητές τους, ξεκινώντας από τους μισθούς εκατομμυριούχων των παικτών. Πρέπει να καταλάβουν πως τίποτα δεν θα είναι όπως πριν ύστερα απ΄ αυτή την κρίση».,Το κορυφαίο ισπανικό πρωτάθλημα ποδοσφαίρου, η La Liga, βρίσκεται στην κόψη του ξυραφιού. Ο Covid-19 υπονομεύει την οικονομική σταθερότητα αρκετών συλλόγων, που έχουν αρχίσει να χρησιμοποιούν το σύστημα Erte, το έκτακτο συμπληρωματικό ταμείο.,Από τις ,Μεταξύ αυτών και ,, που βρίσκεται σήμερα στην κορυφή της βαθμολογίας με 2 βαθμούς διαφορά από την αιώνια αντίπαλό της Ρεάλ Μαδρίτης, ύστερα από 27 αγωνιστικές.,Το «όχι» του Μέσι και των συμπαικτών του στην αυτο-περικοπή μέρους του μισθού ώθησε τον πρόεδρο Μπαρτομέου να ζητήσει τη βοήθεια της κυβέρνησης, σε μια απόφαση που συγκρούεται με την καταλανική υπερηφάνεια, η οποία συχνά οδήγησε τους «μπλαουγκράνα» να πάρουν ξεκάθαρη θέση υπέρ των ακτιβιστών της ανεξαρτησίας της περιοχής.,Μια εκ διαμέτρου διαφορετική απόφαση προέρχεται από ένα άλλο σωματείο με δηλωμένες αποσχιστικές φιλοδοξίες,, που από την ίδρυσή της έχει μόνο παίκτες βασκικής καταγωγής, γεννημένους στη Χώρα των Βάσκων ή που εξελίχθηκαν στα τμήματα υποδομής των ομάδων της περιοχής. «Καμία βοήθεια από τη Μαδρίτη. Ο σύλλογός μας έχει υγιή προϋπολογισμό. Μπορούμε να τα καταφέρουμε μόνοι μας», είναι η θέση της διοίκησης.,Στην ίδια γραμμή, επίσης, ,. Η ομάδα της προέδρου Αμάια Γκοροστίθα ιδρύθηκε το 1940, παίζει σε ένα γήπεδο με μόλις 7.083 θέσεις και συμμετείχε στην ανώτατη κατηγορία για πρώτη φορά την περίοδο 2013-2014. Με έδρα στην ομώνυμη πόλη που βρίσκεται στη χώρα των Βάσκων, η Έιμπαρ είναι επίσης η πρώτη ποδοσφαιρική ομάδα στην Ευρώπη που έχει αποκτήσει την πιστοποίηση ποιότητας UNE-EN-ISO 9001.,Μπορεί οι αθλητικές δραστηριότητες, λόγω της πανδημίας του κορωνοϊού, ωστόσο στη ,Η Premier League της χώρας δεν είναι και από τα πλέον δημοφιλή πρωταθλήματα υπό νορμάλ συνθήκες, ωστόσο πλέον έχει στρέψει πάνω της όλα τα βλέμματα καθώς είναι το μοναδικό ευρωπαϊκό το οποίο συνεχίζεται.,Το Σάββατο (28/3), μάλιστα, πραγματοποιήθηκαν έξι αναμετρήσεις για την Premier League, συμπεριλαμβανομένου του ντέρμπι ανάμεσα στη FC Μινσκ και τη Ντιναμό Μινσκ. Το ντέρμπι της πρωτεύουσας , – πολλοί εξ αυτών φορούσαν μάσκες.,Στη χώρα της πρώην Σοβιετικής Ένωσης, με πληθυσμό περίπου 9.500.000, έχουν καταγραφεί λιγότερα από 100 κρούσματα και κανένας θάνατος από κορωνοϊό. Ο πρόεδρος Αλεξάντερ Λουκασένκο δεν ανησυχεί και συστήνει τους πολίτες ,Ο,, τόνισε ,: «Έχουμε πάρει όλα τα μέτρα που μας έχουν στείλει το Υπουργείο Αθλητισμού και το Υπουργείο Υγείας. Όσοι έρχονται σε επαφή με οπαδούς, φορούν γάντια», είπε σχετικά.,Γεγονός είναι πως το πρωτάθλημα της Λευκορωσίας μεταδίδεται τηλεοπτικά σε 10 γειτονικές χώρες, συμπεριλαμβανομένης της Ρωσίας. Εξ ου και η ατάκα του Αλεξάντερ Στροκ, υπεύθυνου επικοινωνίας της Ντιναμό Μινσκ: ",https://www.cnn.gr/news/sports/story/213247/ntortmoynt-epistrofi-stis-proponiseis-en-meso-koronoioy
sports,www.cnn.gr,Κορωνοϊός: Πέθανε πρώην πρόεδρος της Ρεάλ Μαδρίτης,"

				11:36 Κυριακή, 22 Μαρτίου 2020
				
					
				

			","
								Newsroom				
				, CNN Greece			","Ο Λορένθο Σανθ διετέλεσε πρόεδρος της Ρεάλ Μαδρίτης από το ,, διάστημα στο οποίο κατάφερε να οδηγήσει τους Μαδριλένους σε ,.,Νοσηλευόταν στο νοσοκομείο από την Τρίτη 17 Μαρτίου, καθώς είχαν προηγηθεί , και εκεί διαπιστώθηκε ότι ήταν κι εκείνος θύμα της πανδημίας.,Παρά τις πιέσεις της οικογένειάς του, ,.,Η , διέθεσε νέους πόρους στη μάχη κατά της πανδημίας του κορωνοϊού, η οποία σκότωσε 32% περισσότερους ανθρώπους το τελευταίο 24ωρο.,.,Οι Αρχές, που έχουν επιβάλει στους πολίτες.,Εκατοντάδες χιλιάδες χειρουργικές μάσκες διανεμήθηκαν, νέα ξενοδοχεία μετατράπηκαν σε νοσοκομεία για την υποδοχή ασθενών και εκατοντάδες , αναμένονται για να αυξήσουν τη δυνατότητα ελέγχου των ύποπτων κρουσμάτων.,«Τα κρούσματα , τις επόμενες ημέρες», προειδοποίησε η Μαρία Χοσέ Σιέρα, αξιωματούχος του Κέντρου Προειδοποίησης και Εκτάκτων Υγειονομικών Καταστάσεων σε συνέντευξη Τύπου.,


	
			

		,Η Ισπανία είναι η , μετά την Κίνα και την Ιταλία και πριν από το Ιράν, αλλά τα στοιχεία αυτά θα σταθμιστούν καθώς βασίζονται στον αριθμό των τεστ που διενεργήθηκαν.",https://www.cnn.gr/news/sports/story/212251/koronoios-pethane-proin-proedros-tis-real-madritis
sports,www.cnn.gr,Κορωνοϊός - Ολυμπιακοί Αγώνες 2020: Σε ένα μήνα οι τελικές αποφάσεις από την ΔΟΕ ,"

				23:20 Κυριακή, 22 Μαρτίου 2020
				

			","
								","Μετά τη διάσκεψη της εκτελεστικής της επιτροπής, η ΔΟΕ με μία μακροσκελή ανακοίνωση υπερασπίζεται την επιμονή της στη διεξαγωγή των Αγώνων στην ιαπωνική πρωτεύουσα, κάνει όμως λόγο για ,, που περιλαμβάνουν την αναβολή των Αγώνων, χωρίς να αποκλείει κατηγορηματικά άλλες λύσεις.,Σε κάθε περίπτωση, η τελική απόφαση θα ,, σε συνεργασία -όπως αναφέρει στην ανακοίνωσή της η ΔΟΕ- με τις ιαπωνικές αρχές, τις Εθνικές Ολυμπιακές Επιτροπές, τις διεθνείς ομοσπονδίες, τους κατόχους τηλεοπτικών δικαιωμάτων και τους χορηγούς.,Οι αθλητές, που έχουν υψώσει τις τελευταίες ημέρες τη φωνή τους, αιτούμενοι την αναβολή των Ολυμπιακών, θα πρέπει να... αρκεστούν σε μία επιστολή του προέδρου της ΔΟΕ, Τόμας Μπαχ, που τους ενημερώνει για τις αποφάσεις της Διεθνούς Ολυμπιακής Επιτροπής, χωρίς να ζητά πουθενά τη γνώμη τους...,«Για να διαφυλάξει την υγεία όσων εμπλέκονται και για να συνεισφέρει στη συγκράτηση του COVID-19, η εκτελεστική επιτροπή της Διεθνούς Ολυμπιακής Επιτροπής ανακοίνωσε ότι η ΔΟΕ θα επιταχύνει την εξέταση σεναρίων σχετικά με τους Ολυμπιακούς Αγώνες ""Τόκιο 2020"".,Τα σενάρια αυτά σχετίζονται με την , των , ,, ώστε οι Αγώνες να αρχίσουν στις , καθώς επίσης και αλλαγές στην ημερομηνία έναρξης των Αγώνων. Αυτό το βήμα θα μας επιτρέψει καλύτερη οπτική στην εξέλιξη της υγειονομικής κατάσταση σε όλο τον κόσμο και στη Ιαπωνία. Θα λειτουργήσει ως βάση για την καλύτερη δυνατή απόφαση, προς όφελος των αθλητών και όλων όσοι εμπλέκονται.,Αφενός υπάρχει σημαντική βελτίωση στην Ιαπωνία, όπου ο κόσμος υποδέχεται θερμά την Ολυμπιακή Φλόγα. Αυτό θα μπορούσε να ενισχύσει την πίστη στους Ιάπωνες διοργανωτές ότι η ΔΟΕ θα μπορούσε, με ,, να οργανώσεις Ολυμπιακούς Αγώνες στη χώρα, σεβόμενη παράλληλα την αρχή της διαφύλαξης της υγείας όσων εμπλέκονται.,Αφετέρου, υπάρχει , και, του κορωνοϊού σε διάφορες χώρες και ηπείρους. Αυτό οδήγησε την Ε.Ε. στο συμπέρασμα ότι η ΔΟΕ πρέπει να προχωρήσει στο επόμενο βήμα εξέτασης σεναρίων.,Κάποιες σημαντικές εγκαταστάσεις για τους Αγώνες ίσως να μην είναι διαθέσιμες πλέον. Οι χιλιάδες κρατήσεις σε ξενοδοχεία είναι δύσκολα διαχειρίσιμες και το διεθνές αθλητικό καλεντάρι για τουλάχιστον , θα πρέπει να προσαρμοστεί. Αυτές είναι μόνο μερικές από τις πάρα πολλές προκλήσεις.,Γι΄ αυτό το λόγο, σε συνέχεια της εξέτασης διαφορετικών σεναρίων, θα απαιτείτο η πλήρης δέσμευση και συνεργασία της οργανωτικής επιτροπής ""Τόκιο 2020"", των ιαπωνικών αρχών, όλων των διεθνών ομοσπονδιών και των Εθνικών Ολυμπιακών Επιτροπών. Θα απαιτείτο επίσης η δέσμευση και η συνεργασία των κατόχων τηλεοπτικών δικαιωμάτων και των μεγάλων χορηγών, ως μέρος της συνεχούς υποστήριξής τους στο Ολυμπιακό Κίνημα, καθώς και η συνεργασία με όλους τους συνεργάτες, προμηθευτές και εργολάβων. Υπό αυτό το πρίσμα και δεδομένης της επιδείνωσης της κατάστασης σε παγκόσμιο επίπεδο, η εκτελεστική επιτροπή της ΔΟΕ έκανε σήμερα το επόμενη βήμα στην εξέταση πιθανών σεναρίων.,Η ΔΟΕ, σε πλήρη συντονισμό και συνεργασία με την Οργανωτική Επιτροπή ""Τόκιο 2020"", τις ιαπωνικές αρχές και την Μητροπολιτική Κυβέρνηση του Τόκιο, θα ξεκινήσει λεπτομερείς συζητήσεις για να ολοκληρώσει την εκτίμησή της σχετικά με την ταχεία εξέλιξη της παγκόσμιας υγειονομικής κατάστασης και της επίδρασής της στους Ολυμπιακούς Αγώνες, εξετάζοντας και το σενάριο αναβολής. Η ΔΟΕ είναι αισιόδοξη ότι θα έχει , μέσα στις επόμενες τέσσερις εβδομάδες και εκτιμά την αλληλλεγγύη και τη συνεργασία των Εθνικών Ολυμπιακών Επιτροπών και των διεθνών ομοσπονδιών, σε ό,τι αφορά τη στήριξη των αθλητών και την υιοθέτηση του σχεδιασμού για τους Αγώνες.,Η εκτελεστική επιτροπή της ΔΟΕ υπογραμμίζει ότι η ματαίωση των Ολυμπιακών Αγώνων ""Τόκιο 2020"",Μετά τη συνεδρίαση της Ε.Ε., ο πρόεδρος της ΔΟΕ Τόμας Μπαχ έγραψε στην παγκόσμια κοινότητα των αθλητών παρέχοντας εξηγήσεις για την προσέγγιση της ΔΟΕ.,Στην επιστολή αυτή ο Μπαχ τόνισε για ακόμη μία φορά ότι η διαφύλαξη της υγείας όλων των εμπλεκομένων και η συνεισφορά στη μη διάδοση του ιού είναι η βασική αρχή, αναφέροντας:",https://www.cnn.gr/news/sports/story/212329/koronoios-olympiakoi-agones-2020-se-ena-mina-oi-telikes-apofaseis-apo-tin-doe
sports,www.cnn.gr,Βαλένθια: 10 ποδοσφαιριστές της θετικοί στον κορωνοϊό,"

				10:57 Σάββατο, 28 Μαρτίου 2020
				

			","
								Newsroom				
				, CNN Greece			","Το προσεχές Σαββατοκύριακο (28-29/03) συμπληρώνεται ένα , από τη μέρα που όλοι οι παίκτες και το υπαλληλικό προσωπικό της ισπανικής ομάδας, υποβλήθηκαν σε εξετάσεις για να διαπιστωθεί εάν έχουν προσβληθεί από τον ιό ,Επί του παρόντος ο αριθμός των κρουσμάτων είναι 25, μολονότι η διοίκηση των «νυχτερίδων» δεν θέλησε να δώσει στη δημοσιότητα, ονόματα και λεπτομέρειες, πέραν των παικτών (,), που το έχουν γνωστοποιήσει ήδη μέσω των social media.,Όπως ανακοινώθηκε την Παρασκευή το μεσημέρι από τις Αρχές της Ισπανίας, ακόμη 769 άτομα που νοσούσαν από κορωνοϊό κατέληξαν. ,Πρόκειται για τον , που έχει ανακοινώσει μέσα σε μία ημέρα η Ισπανία, οι ανακοινώσεις της οποίας ακολουθούν σε τραγικότητα εκείνες της ,. Και οι δύο χώρες έχουν πλέον ξεπεράσει κατά πολύ τον αριθμό των νεκρών στην ,, πρώτο επίκεντρο της πανδημίας. ,


	
			

		,H νέα αυτή καταγραφή ανεβάζει τον συνολικό αριθμό των θυμάτων σε , και των κρουσμάτων σε ,, σημειώνοντας, σε σχέση με την Πέμπτη. Καταγράφεται δηλαδή μια ελαφρά μείωση του ρυθμού της μετάδοσης κατά το 24ωρο Πέμπτης-Παρασκευής, έναντι +18% και +20% τα δύο προηγούμενα 24ωρα.,Επιπλέον, , άτομα βρίσκονται στις μονάδες εντατικής φροντίδας ενώ , έχουν ιαθεί. ,Τα , των κατοίκων της Ισπανίας έχουν τεθεί από τις 14 Μαρτίου σε αυστηρό περιορισμό που παρατάθηκε μέχρι τις 11 Απριλίου.,Οι ισπανικές αρχές έχουν προειδοποιήσει ότι αυτή η εβδομάδα θα είναι «δύσκολη», εν αναμονή της , της επιδημικής καμπύλης.",https://www.cnn.gr/news/sports/story/213086/valenthia-10-podosfairistes-tis-thetikoi-ston-koronoio
sports,www.cnn.gr,Κορωνοϊός: Ο Μέσι δώρισε ένα εκατομμύριο ευρώ για τη μάχη κατά του ιού,"

				10:38 Τετάρτη, 25 Μαρτίου 2020
				

			","
								Newsroom				
				, CNN Greece			","«Ο Μέσι έκανε μία , στην κλινική μας. Σε ευχαριστούμε Λέο για την προσφορά σου και τη βοήθεια» ήταν το μήνυμα της Νοσοκομειακής Κλινικής της Βαρκελώνης., , , ,	,Ειδικότερα, σύμφωνα με το πρακτορείο ,, τα χρήματα που προσφέρει ο θρυλικός ποδοσφαιριστής , στην κλινική της Βαρκελώνης καθώς και σε άλλη μία κλινική στη γενέτειρά του στο Ροζάριο.,Σημειώνεται ότι η ,ανακοίνωσε την Τρίτη ότι το, καταγράφηκαν , νέοι θάνατοι από την επιδημία του ,, ανεβάζοντας σε , τον , των νεκρών στη χώρα, σύμφωνα με το υπουργείο Υγείας.,Εξάλλου τα επιβεβαιωμένα κρούσματα έφτασαν σήμερα τα , που ήταν τη Δευτέρα, αύξηση κατά , κρούσματα, ανέφερε η ίδια πηγή.,


	
			

		,Ενώ στην Ιταλία παρατηρήθηκε μικρή μείωση των θανάτων σε σχέση με το προηγούμενο 24ωρο, ο αριθμός των νεκρών συνεχίζει να αυξάνει: ,.",https://www.cnn.gr/news/sports/story/212653/koronoios-o-mesi-dorise-ena-ekatommyrio-eyro-gia-ti-maxi-kata-toy-ioy
sports,www.cnn.gr,Κορωνοϊός: «Δεν τον αποχαιρετίσαμε ποτέ» - Συγκλονίζει η ιστορία 21χρονου προπονητή που πέθανε,"

				12:55 Παρασκευή, 20 Μαρτίου 2020
				

			","
								Newsroom				
				, CNN Greece			","Ο νεαρός , σε νοσοκομείο στη Μάλαγα, όπου ,, για την οποία ως εκείνη τη στιγμή, δεν γνώριζε.,Ο 21χρονος εμφάνισε τα , στις 6 Μαρτίου, αλλά αρχικά θεώρησε ότι πρόκειται για απλό κρυολόγημα, σύμφωνα με τον πατριό του, ο οποίος μίλησε στη ,για όσα βίωσε και βιώνει η οικογένεια.,Ωστόσο, , και τρεις μέρες μετά (9 Μαρτίου) ο Γκαρθία επισκέφθηκε έναν άλλο γιατρό, ο οποίος τον συμβούλευσε να πάρει , και του είπε πως δεν υπάρχει λόγος ανησυχίας.,Την επόμενη μέρα, ο πατριός του τον μετέφερε σε κέντρο υγείας, όπου οι γιατροί , και τον έστειλαν πίσω στο σπίτι. Στις 11 Μαρτίου ο 21χρονος δεν είχε δύναμη να σταθεί όρθιος και ,. Έτσι, οι γονείς του τον μετέφεραν στο νοσοκομείο.,Από εκείνη τη μέρα και έπειτα, ο Φρανσίσκο Γκαρθία , και οι γιατροί ανέμεναν τα αποτελέσματα του τεστ για κορωνοϊό, με τις εξετάσεις, παράλληλα, να δείχνουν ότι ,.,Εμφανώς συγκινημένος, συνέχισε την περιγραφή των τελευταίων ημερών για την οικογένεια, αναφέροντας ότι:,Η οικογένεια του 21χρονου θύματος παραμένει σε , υπό τον φόβο ότι μπορεί να έχουν προσβληθεί κι αυτοί από τον κορωνοϊό, ενώ ο πατριός του προειδοποιεί ότι η τραγική ιστορία τους αποτελεί μία ακόμη απόδειξη ότι, άμεσα και σοβαρά.",https://www.cnn.gr/news/sports/story/212006/koronoios-den-ton-apoxairetisame-pote-sygklonizei-i-istoria-21xronoy-proponiti-poy-pethane
sports,www.cnn.gr,Αναβλήθηκαν οι τελικοί Champions και Europa League,"

				21:06 Δευτέρα, 23 Μαρτίου 2020
				

			","
								Newsroom				
				, CNN Greece			","Η εξέλιξη ήταν αναμενόμενη καθώς δεν θα μπορούσαν να διεξαχθούν οι τελικοί των ευρωπαϊκών διοργανώσεων τον Μάιο, όπως ήταν προγραμματισμένοι να γίνουν εξαρχής, αφού τα πάντα έχουν σταματήσει στο ευρωπαϊκό ποδόσφαιρο λόγω ,.,Η UEFA αναζητά ακόμα τη λύση στο πώς θα συνεχιστούν και θα ολοκληρωθούν οι διοργανώσεις της, παρόλα αυτά τη Δευτέρα (23/03) εξέδωσε ανακοίνωση στην οποία ενημερώνει για τις ,Όπως ενημέρωσε η ευρωπαϊκή ομοσπονδία, δεν θα  διεξαχθούν στις ημερομηνίες που είχαν οριστεί ο τελικός του Champions League, ο τελικός του Europa League και ο τελικός του Champions League των γυναικών.,Σύμφωνα με όσα αναφέρει η ανακοίνωση της UEFA, ομάδες εργασίες δουλεύουν πάνω στο πως θα συνεχιστούν και θα ολοκληρωθούν οι διοργανώσεις. Όπως υποστηρίζει αναζητούνται διαθέσιμες ημερομηνίες για τους αγώνες, ενώ ξεκαθάρισε πως θα υπάρξει επίσημη ενημέρωση για οποιαδήποτε απόφαση ή εξέλιξη θα προκύψει μετά τις συζητήσεις που διεξάγονται διαρκώς τις τελευταίες ημέρες,, ",https://www.cnn.gr/news/sports/story/212474/anavlithikan-oi-telikoi-champions-kai-europa-league
sports,www.cnn.gr,Κορωνοϊός: Μαζεύουν χρήματα οι ποδοσφαιριστές για τη δημιουργία ΜΕΘ,"

				23:30 Κυριακή, 29 Μαρτίου 2020
				

			","
								","Την πρωτοβουλία πήραν Έλληνες διεθνείς που αγωνίζονται εκτός συνόρων, οι οποίοι αντιλαμβανόμενοι τις , που υπάρχουν στις ιατρικές υποδομές της πατρίδας μας, ήρθαν σε συνεννόηση μεταξύ τους για να συγκεντρώσουν ένα σημαντικό ποσό (,), ικανό για να προετοιμαστεί και να εξοπλιστεί πλήρως μία ΜΕΘ.,Στο κάλεσμά τους ανταποκρίθηκαν τόσο οι αρχηγοί όσο κι άλλοι ποδοσφαιριστές των μεγάλων ομάδων της ελληνικής Big-4 (Ολυμπιακού, ΠΑΟΚ, ΑΕΚ, Παναθηναϊκού), καθώς και παίκτες κι από άλλα , και μέχρι στιγμής τα χρήματα που έχουν συγκεντρωθεί είναι πολύ κοντά στο αρχικό στόχο.,Δεν αποκλείεται δε, όπως τονίζεται από τους παίκτες, εάν ξεπεραστεί το αρχικό ποσό, να γίνει προσπάθεια για ,.",https://www.cnn.gr/news/sports/story/213249/koronoios-mazeyoyn-xrimata-oi-podosfairistes-gia-ti-dimioyrgia-meth
sports,www.cnn.gr,Η δράση συνεχίζεται στο Pamestoixima.gr με τα Virtual Sports,"

				14:30 Δευτέρα, 30 Μαρτίου 2020
				
					
				

			","
								Newsroom				
				, CNN Greece			","Στα Virtual Sports δεν χρειάζεται κάποιος να έχει ιδιαίτερες γνώσεις για να συμμετάσχει ενώ η ροή των αγώνων είναι διαρκής. Τα σύγχρονα γραφικά, οι ρεαλιστικές φάσεις και η εξέλιξη του παιχνιδιού δημιουργούν την εντύπωση ότι οι παίκτες παρακολουθούν πραγματικούς αγώνες.,Η εμπειρία γίνεται ακόμα πιο συναρπαστική, χάρη στον σχολιασμό από τους δημοσιογράφους Αντώνη Κατσαρό και Ρήγα Δάρδαλη, στους αγώνες ποδοσφαίρου και μπάσκετ, αντίστοιχα.,Το , προσφέρει πλήθος στοιχηματικών επιλογών στα Virtual Sports. Οι παίκτες μπορούν να δημιουργήσουν παρολί, συνδυάζοντας παιχνίδια από διαφορετικά σπορ, αλλά και να κάνουν cash out έως την έναρξή τους. Αναλυτικά:,Με περισσότερους από 1.000 αγώνες καθημερινά, σε ποδόσφαιρο, μπάσκετ και τένις, η δράση στο , δεν σταματά ποτέ.",https://www.cnn.gr/news/sports/story/213332/h-drasi-synexizetai-sto-pamestoixima-gr-me-ta-virtual-sports
